star_name,gaiadr3,vsini,e_vsini
TIC 76399157,6210926819198797440,1.538,
TIC 153027837,4847282124418880256,2.056,
TIC 279649049,4722135642226902656,2.055,
TIC 7244844,4942867480584948352,2.334,
TIC 49831913,2898239468873596800,2.092,
TIC 279696912,3011850012504392960,1.366,
TIC 301329955,2643862402903084544,2.568,
TIC 70829383,5446332686714616448,1.8,
TIC 143046056,3784271568265259904,1.543,
TIC 301564622,3250489115709122560,1.37,
TIC 72814920,6133033601555979648,2.57,
TIC 58596146,6189254689097655552,1.381,
TIC 154234114,5596797039059063680,2.305,
TIC 437430894,6248534171318085376,2.441,
TIC 404224395,6350283492745097728,2.568,
TIC 382276154,6421555485729063424,2.068,
TIC 146322354,2972622770521857664,2.055,
TIC 237356930,4828528063821835648,2.564,
TIC 280495780,5409121433672765824,0.724,
TIC 22030964,6143165291967834880,1.854,
TIC 281371481,4433711099194059904,1.842,
TIC 231836962,4716158250340258944,2.307,
TIC 289624436,2417456431710276096,2.305,
TIC 410994457,4341501106288171008,0.844,
TIC 65652471,5617564477239812864,3.075,
TIC 45687531,5302967365577746176,2.302,
TIC 420964096,2964794041574370560,0.733,
TIC 242309774,6096062866670779136,2.255,
TIC 372315670,6375406062130234368,1.388,
TIC 147407292,6564091190988411520,2.069,
TIC 167460086,2468607533700284800,1.372,
TIC 372914091,5291028181119851776,2.299,
TIC 38202481,2619938606134863872,0.775,
TIC 238870817,4644134225767167872,1.847,
TIC 12880347,2423292879948720000,2.568,
TIC 207806112,5931529953919720576,2.055,
TIC 286069970,5320952798822552064,2.102,
TIC 6677245,3053492881541641600,1.821,
TIC 261462443,6397524662667334528,3.081,
TIC 145972795,5548164986925169024,2.756,
TIC 454901855,5876112300125320448,2.564,
TIC 248854510,6912276699251278848,2.57,
TIC 425935521,4900108950849461248,2.304,
TIC 106900981,5391813299572883456,2.345,
TIC 164332676,6848935999040583168,2.058,
TIC 206402844,4733035238430992768,2.057,
TIC 71094440,5459060117921483008,0.668,
TIC 396255306,5790389872417570816,1.842,
TIC 144068704,6517058790835773440,3.089,
TIC 160991902,6703245382605547520,2.598,
TIC 405485269,5691782130578684544,1.389,
TIC 243194645,6083860761505899904,2.605,
TIC 41533357,5266348577487273344,0.83,
TIC 261136679,4623036865373793408,2.568,
TIC 161314759,6515731817739456256,5.136,
TIC 269831195,6806482034026893824,3.082,
TIC 205253565,4199928848101663104,2.305,
TIC 231824922,4768170579173552896,2.306,
TIC 180664865,5528591961953902720,2.564,
TIC 208844024,5872266689455300608,2.767,
TIC 281667171,4906784051581971200,1.382,
TIC 54018090,2453895484005571200,1.543,
TIC 248381971,2482820714353923072,3.083,
TIC 169108295,3065191272937568896,2.047,
TIC 157921708,5975810379449715968,1.843,
TIC 34507428,3013570610764491520,2.058,
TIC 259719464,6403912515987392128,2.568,
TIC 383006458,5853300216982678400,2.055,
TIC 43472394,3183354619344258304,3.085,
TIC 345176811,6365296911707684352,2.304,
TIC 271677262,5693255510530645120,3.068,
TIC 421999162,2704678521338819840,1.841,
TIC 260266504,5482551183847322752,2.412,
TIC 66695166,3634809077186320384,2.765,
TIC 290058172,3606091998132474752,1.383,
TIC 124165580,5965406010180880640,3.111,
TIC 93281916,2966790170574625408,2.06,
TIC 183587877,4987736999629756800,3.098,
TIC 22295632,5956907713041688960,0.766,
TIC 180497060,5528565470596048256,2.741,
TIC 24921603,2467122570235222016,1.037,
TIC 250080475,2633449134434620288,2.765,
TIC 420814525,1779546757669063552,3.7,
TIC 261643880,6380683992820388480,0.692,
TIC 268565917,3101382419728401408,3.912,
TIC 197686484,6586580842340695040,3.688,
TIC 132702068,5534026023301322368,2.052,
TIC 168441252,6758627852015732480,5.181,
TIC 181741837,5524982093479504384,3.648,
TIC 206412735,4832401540206966656,1.382,
TIC 75094979,6851090320276640000,5.175,
TIC 153072777,4338289879498164608,3.224,
TIC 229137615,4912580642524184960,5.136,
TIC 166853853,4745373133284418816,5.628,
TIC 450491293,6053512007260865280,5.603,
TIC 49099038,5451896799663667200,1.84,
TIC 2288734,6770313530317154560,6.451,
TIC 49845357,3265335443260522112,8.326,
TIC 53134037,4048037707717866880,0.743,
TIC 389757979,4976894960284258048,9.759,
TIC 152449405,5979460655025099776,7.208,
