star_name,gaiadr3,vsini,e_vsini
TIC 197623112,4307162018124573312,2.8,
TIC 284359245,2143016302194287488,3.9,
TIC 158985758,2127789646700855040,7.7,
TIC 58622002,4262872315389630336,22.0,
TIC 134352603,4314798744888764544,4.7,
TIC 100374998,4208110932591708672,4.3,
TIC 100711809,4187837450005193088,3.5,
TIC 40468289,2045599984313800448,3.7,
TIC 249736205,4239437599419697536,3.4,
TIC 26884478,2136027771930903808,9.8,
TIC 275633056,2142179058450057856,3.9,
TIC 95320727,4240035046551668736,3.6,
TIC 284987730,2020792665545199232,4.2,
TIC 286636275,466294295706341760,2.6,
TIC 418085793,434311667115069952,3.6,
TIC 281446108,4298143102210310272,5.9,
TIC 318384880,4297465218928881792,31.3,
TIC 365294034,6963761190199424,5.3,
TIC 287947139,1833199729671740800,2.2,
TIC 345571990,4237555510387302400,4.2,
TIC 87216634,1809360187275432832,0.4,
TIC 186807955,138972467251590656,3.8,
TIC 34856861,112440873718983680,5.0,
TIC 212714426,4229021960117124992,6.4,
TIC 375520221,4245501440394297088,6.8,
TIC 247250544,1844639838900425472,3.8,
TIC 304379558,2163558855915068416,3.8,
TIC 365441779,14163878724940672,0.8,
TIC 230168635,1787990525934491776,7.1,
TIC 388996956,1743592452563243136,3.7,
TIC 323122607,2277676686702880000,3.7,
TIC 427238624,2217421147402574720,5.1,
GAIA DR3 30321099016072320,30321099016072320,3.1,
TIC 404393507,2216158427021654528,5.2,
TIC 248046660,1800378139330660992,3.1,
TIC 258038021,1781003885454165888,3.2,
TIC 399897311,1898230241798771584,2.3,
TIC 38202481,2619938606134863872,4.0,
TIC 279182339,5170039467784804096,3.0,
TIC 422438669,2704912403783213696,2.7,
TIC 60781630,2720132500864789760,1.0,
TIC 264899051,2299942278201276288,2.5,
TIC 245325810,2832641058969396864,4.5,
TIC 310919689,2662112268699428352,7.8,
TIC 422556732,2213415145505277824,2.2,
TIC 278952345,2638410646295370880,3.3,
TIC 218046124,2815542965962559488,11.4,
TIC 455819325,1935133906477014016,3.2,
TIC 262661743,2657361038437686144,7.1,
TIC 431698314,1909581805999126784,2.5,
TIC 24467943,1995681125599758592,6.8,
TIC 428988656,2282846074981010688,17.1,
TIC 173925925,1937003729077791616,5.6,
TIC 173924720,1937923436193950080,2.8,
TIC 444314028,2011251030583236352,0.5,
TIC 366036174,2871343486014101888,2.6,
TIC 346546437,1940954617956840192,3.6,
TIC 301564622,3250489115709122560,3.1,
TIC 259248295,443016706832479488,2.5,
TIC 201242999,231113736385994624,0.3,
TIC 224288693,1575920330941197184,4.4,
TIC 456863621,43802039287826432,4.6,
TIC 393194318,474648763011926272,0.0,
TIC 72290819,473347456640406016,3.8,
TIC 103068804,551050046451136256,3.9,
TIC 242942985,43499295632961152,2.9,
TIC 459906829,3258132920543658880,4.7,
TIC 467677978,219057458247921536,2.1,
TIC 9150015,3256786534197166208,18.7,
TIC 464774815,3259758514127331328,18.0,
TIC 311151814,45367056650753280,8.6,
TIC 15933506,46975436002187136,32.5,
TIC 283751025,3300934223858467072,17.3,
TIC 17339628,145373377272257664,13.1,
TIC 27936849,257134507991047936,4.2,
TIC 60903802,3313689422030650496,5.0,
TIC 245792139,3314109916508904064,8.1,
TIC 125838647,151650076838458112,8.0,
TIC 435903398,3312281669189449472,2.9,
TIC 452785002,3282511876473223552,2.4,
TIC 245863570,3312575685471393664,7.2,
TIC 245902283,3309493720019304576,8.5,
TIC 118678954,146677879098433152,4.9,
TIC 176379354,3188395880157173120,5.8,
TIC 302190720,2778942732134817408,6.7,
TIC 293608218,3392089755051027712,2.2,
TIC 57746634,2032017717217569152,3.5,
TIC 142103211,553480551264062848,14.3,
TIC 328030874,2550696212836482944,3.9,
TIC 310872966,215395053733297024,1.6,
TIC 424009747,369092520004831232,2.6,
TIC 426400173,3456337827237371264,2.2,
TIC 468874310,1107458592882148096,2.3,
TIC 257392565,2549518150551364864,3.4,
TIC 153289168,3319126988068404096,3.5,
TIC 242250358,3121655180756368128,6.2,
TIC 234568937,3131495878545906688,11.7,
