star_name,gaiadr3,vsini,e_vsini
TIC 1720764,6764045867361955968,0.0,0.0
TIC 402317981,2433113374210098048,4.104,0.477
TIC 170766454,4867596937475715968,2.321,0.258
TIC 235066737,4795464336128889472,4.124,0.094
TIC 141765836,5266148569447305600,1.643,0.437
TIC 453082318,5275154016353718912,2.928,0.333
TIC 79698690,5518807064384744832,2.303,0.213
TIC 178622669,3069347628753757440,2.095,0.26
TIC 348833261,5733849170579848448,2.325,0.858
TIC 37533318,5649661592466640000,1.991,0.294
TIC 32550429,2456361448068627712,1.766,0.11
TIC 394973078,5200595308240165120,3.16,0.255
TIC 3816118,2523361151179609344,3.839,0.218
TIC 346923890,2585856120791459584,2.089,0.187
TIC 423752904,5149607655522233728,2.389,0.236
TIC 97404060,77161217776670208,1.933,0.231
TIC 332746279,2494066897240089984,0.0,0.0
TIC 441501782,5155981730587168384,1.915,0.15
TIC 302452347,31251045334952960,2.19,0.173
TIC 38425450,4679878730311238656,1.757,0.159
TIC 283826260,3297396274614449920,4.164,0.271
TIC 117979951,2980492387558410112,3.239,0.178
TIC 143350972,2971536418673198976,1.79,0.23
TIC 91928222,3346787986201584896,1.698,0.162
TIC 153289168,3319126988068404096,2.015,0.174
TIC 100374998,4208110932591708672,1.402,0.188
TIC 100606047,6481828582855724544,2.894,0.198
TIC 139112038,6577318075351824512,2.437,0.165
TIC 425039286,6840872971033892608,1.496,0.198
TIC 469934028,6501182220888038784,1.852,0.189
TIC 293367726,2743198605549406464,1.627,0.229
TIC 16855,6223838830917236224,1.953,0.696
