Unnamed: 0,star_name,gaiadr3,HD,S_cl,logRhk_cl,vsini,e_vsini
233,TIC 82066,6228895347454821888,129926,0.203,,112.5,
234,TIC 82066,6228895347454821888,129926,0.214,,112.5,
235,TIC 116307204,1589840624889560576,130945,0.201,,9.8,
236,TIC 1176693781,6232511675556408320,131976,0.463,,4.1,
237,TIC 287157634,6232511606838403968,131977,0.485,,3.9,
238,TIC 175800228,6337402473507040512,132052,0.24,,113.3,
239,TIC 309765388,1592338513445876608,132254,0.137,-5.065,7.7,
240,TIC 288183829,1722385725122129408,133002,0.195,-4.859,5.2,
241,TIC 229902025,1264630412816366720,134083,0.2,,44.4,
242,TIC 136916387,5902750168276592256,136352,0.164,-4.99,4.3,
243,TIC 425698601,5793994243333630080,137628,0.332,,5.3,
244,TIC 278036258,5882581895219921024,139084,0.758,-4.209,16.3,
245,TIC 254425584,5989102478619519616,139664,0.234,,71.6,
246,TIC 116541746,1401050531326713984,139798,0.238,,64.8,
247,TIC 116541746,1401050531326713984,139798,0.242,,64.8,
248,TIC 459427073,4423865487962417024,140538,0.18,-4.901,5.1,
249,TIC 459427073,4423865487962417024,140538,0.177,-4.915,4.1,
250,TIC 296740796,4430238051199001216,141004,0.149,-5.048,5.0,
251,TIC 272814606,4426054581256895104,142229,0.299,-4.466,5.0,
252,TIC 255263370,5994771148252505216,142709,0.414,,5.3,
253,TIC 377415363,1193030490492925824,142860,0.142,-4.951,10.0,
254,TIC 69514163,5998513610949980544,143928,0.179,,23.7,
255,TIC 49725171,4343066192373234048,144069,0.179,-4.79,11.6,
256,TIC 161825882,1623289903206300928,144284,0.271,-4.472,28.5,
257,TIC 206828302,5835498883232034816,144628,0.197,-4.948,5.0,
258,TIC 207556694,5835113573101867520,145417,0.179,-4.993,4.6,
259,TIC 74129611,4356960755169210880,146514,0.292,,152.9,
260,TIC 210514156,6037514800199297152,146836,0.202,,18.8,
261,TIC 39836825,1380421150568828800,147365,0.252,,72.5,
262,TIC 270639162,4408631032807405696,147449,0.229,,76.4,
263,TIC 270639162,4408631032807405696,147449,0.226,,77.1,
264,TIC 350673608,6018047019138644480,147513,0.305,-4.47,3.9,
265,TIC 350856014,5828317422956035072,147787,0.199,,12.9,
266,TIC 160600809,1704062466923822336,148048,0.23,,84.8,
267,TIC 77929282,5970956070030449792,150689,0.643,,4.8,
268,TIC 199661915,1430517198137007872,151613,0.216,,47.5,
269,TIC 399001403,4333742711723764224,151798,0.385,-4.307,10.4,
270,TIC 233503400,1705819589584418688,152303,0.221,,23.5,
271,TIC 181938424,4339941101147274496,153458,0.218,-4.713,0.0,
272,TIC 212317204,5923907314622859520,153580,0.204,-4.592,45.4,
273,TIC 142456308,4364527594192166400,154363,0.527,,3.8,
274,TIC 297236135,4381502851133968128,154417,0.279,-4.51,5.3,
275,TIC 441721258,1656523844747203840,155154,0.326,,188.9,
276,TIC 1277142190,4109030160308317312,155885,0.361,-4.525,3.7,
277,TIC 79841001,4109034455276324608,156026,0.813,,4.4,
278,TIC 152449405,5979460655025099776,156098,0.156,,5.8,
279,TIC 217157387,5951165616611763456,156274,0.159,-5.075,4.5,
280,TIC 232606431,1631010158460327168,156295,0.241,,107.4,
281,TIC 43338030,4569194055841164160,157728,0.202,,73.0,
282,TIC 349491678,4377160604838377600,160346,0.249,,4.1,
283,TIC 43790244,4548845321128406528,160910,0.232,,31.7,
284,TIC 233195546,1637717179389828224,160922,0.191,,5.9,
285,TIC 294763116,5812169170542650624,161296,0.582,,4.6,
286,TIC 277303601,4473968166959087104,162917,0.215,,28.4,
287,TIC 1674663309,4468557611984384512,165341,0.32,-4.671,4.6,
288,TIC 87418452,6721432232656218752,166348,1.186,,4.8,
289,TIC 186271747,4093301474693288960,170657,0.323,-4.648,4.5,
290,TIC 371127111,4286583352361701632,171834,0.221,,71.3,
291,TIC 1544160,4079684229322231040,172051,0.162,-4.992,4.0,
292,TIC 282038438,4530744134231683840,173667,0.174,-4.72,15.1,
293,TIC 352487147,4100608588397364480,175317,0.204,,15.9,
294,TIC 254003502,6730853810342681472,175813,0.294,,148.5,
295,TIC 340641623,4506124621465681536,176303,0.187,,23.6,
296,TIC 42551532,2042936967135806848,178449,0.291,,135.7,
297,TIC 180240197,4305679773377634944,178596,0.268,,57.0,
298,TIC 2288734,6770313530317154560,179949,0.193,-4.698,6.4,
299,TIC 235682463,2292498687560557056,180777,0.28,,56.1,
300,TIC 228896480,4289041379340453376,182640,0.218,,87.3,
301,TIC 112995114,6746284390882038656,183216,0.259,-4.579,6.0,
302,TIC 249864448,4209968351329169280,185124,0.217,,87.0,
303,TIC 237622598,4190374813602603392,187532,0.216,,77.5,
304,TIC 281446108,4298143102210310272,187897,0.229,-4.661,5.5,
305,TIC 241967968,6863535898551993472,188088,0.528,,0.0,
306,TIC 375621179,4296708789290712064,188512,0.134,-5.212,2.3,
307,TIC 211305389,6698960688866464768,189245,0.339,-4.309,72.6,
308,TIC 409891396,6427464123776727168,190248,0.148,-5.136,3.8,
309,TIC 236871353,2243923260280193920,192455,0.262,,15.1,
310,TIC 416939293,2081722205447961088,192985,0.17,,9.2,
311,TIC 244084195,4219087666404378624,193017,0.22,-4.614,5.4,
312,TIC 429135124,6860945174279114880,194943,0.245,,87.7,
313,TIC 277234493,2084032554258818944,195068,0.23,,40.2,
314,TIC 456645647,1810448909928688768,196524,0.253,,39.8,
315,TIC 188401533,6854626246593473792,196761,0.174,-4.975,4.2,
316,TIC 269995013,6805455124526007424,197692,0.224,,41.0,
317,TIC 23913506,6902842648968719104,198743,0.301,,53.7,
318,TIC 206189744,6882840883188886784,199143,0.435,-4.162,125.0,
319,TIC 167092249,1964791583368233088,202444,0.27,,90.4,
320,TIC 357657732,1972438304486314112,204153,0.296,,108.8,
321,TIC 441018038,6830187710876927616,205289,0.242,,57.5,
322,TIC 367460125,1786774019397408768,206043,0.303,,134.1,
323,TIC 452706688,1799315152104585856,206901,0.233,,42.3,
324,TIC 385051182,1773172957482270464,207652,0.339,,151.3,
325,TIC 206238826,6840706910418152320,207958,0.353,,69.3,
326,TIC 326202925,1896396703077703936,207978,0.17,,7.2,
327,TIC 366412503,2278918344568877056,209369,0.261,,26.4,
328,TIC 508850829,2678143182591522048,213051,0.246,-4.516,48.4,
329,TIC 69889261,6628926642897745664,213845,0.228,-4.512,34.9,
330,TIC 129489432,1927715845118203520,216756,0.22,,11.3,
331,TIC 252676979,1990895088922990976,218470,0.191,-4.635,9.7,
332,TIC 455817128,1931708859034495488,218804,0.244,,19.3,
333,TIC 252756054,1990723839987250176,219080,0.251,,61.8,
334,TIC 76960978,6551545179198032256,221275,0.261,-4.736,4.2,
335,TIC 422629660,2646416259176624000,221950,0.189,,8.6,
336,TIC 401396260,2745491430891511168,224617,0.239,,40.3,
337,TIC 120461526,2306965202564744064,225213,0.389,,4.8,
