star_name,gaiadr3,logRHK,S_Value,vsini,age,e_vsini
TIC 322378751,2224502448957645312,-4.45,0.37,5.8,1.9,0.5
TIC 384189169,1979630695388314240,-4.79,0.22,2.5,3.6,0.5
TIC 84235871,1959369685372552832,-5.05,0.15,0.1,10.5,0.5
TIC 258038021,1781003885454165888,-4.5,0.52,2.6,5.7,0.5
TIC 319482278,2695552540468718592,-4.89,0.19,1.6,3.8,0.5
TIC 420823083,1781461179211748352,-4.8,0.23,1.3,6.7,0.5
TIC 326113102,2005238836596868224,-4.95,0.18,1.7,5.8,0.5
TIC 357336603,1891598193816300544,-5.16,0.14,0.1,1.4,0.5
TIC 100408043,1905796874660633344,-5.1,0.16,1.0,7.6,0.5
TIC 10682576,1887939152260517504,-4.59,0.28,3.7,1.6,0.5
TIC 338930194,2211393521580984320,-4.88,0.19,0.1,6.7,0.5
TIC 66549778,1988833504619793536,-4.8,0.23,1.5,3.8,0.5
TIC 264899051,2299942278201276288,-4.93,0.2,0.2,11.1,0.5
TIC 129283354,1927832221552344576,-4.91,0.2,1.0,11.3,0.5
TIC 24467943,1995681125599758592,-5.01,0.15,4.7,2.8,0.5
TIC 422617879,2647148976301673472,-4.98,0.17,1.4,9.5,0.5
TIC 366036174,2871343486014101888,-4.73,0.27,2.4,7.2,0.5
TIC 113492673,2826159850241446784,-4.99,0.31,0.1,12.6,0.5
TIC 437707246,2847644410526748416,-4.4,0.85,1.7,7.0,0.5
TIC 114806039,2341817487782612480,-5.01,0.16,1.6,6.1,0.5
