star_name,gaiadr3,vsini,l_vsini
TIC 36981205,6316161317608434944,3.35,True
TIC 345585983,1209182041427374080,0.45,True
TIC 159331746,1720995598827435648,11.09,False
TIC 459427073,4423865487962417024,11.01,False
TIC 272595871,4422809716282811776,7.61,False
TIC 377415363,1193030490492925824,11.13,False
TIC 119985828,4464207428579939840,2.24,False
TIC 318946785,4439625337884136064,3.68,True
TIC 345662514,4467355154275146112,4.12,False
TIC 281738302,4383374219923745024,5.66,False
TIC 326927305,4381250547575102208,10.6,False
TIC 351654581,4548462729742343296,10.77,False
TIC 39464221,1335880415564253312,3.01,False
TIC 363766517,4556066746008265344,1.2,True
TIC 275063206,4576863905365412736,15.78,False
TIC 399244384,4471087175915086080,13.9,False
TIC 133556737,4270446404294208000,11.33,False
TIC 282038438,4530744134231683840,14.08,False
TIC 226107999,4258375617747092864,3.68,True
TIC 93137389,4503794795019024000,3.35,True
TIC 197623112,4307162018124573312,4.07,False
TIC 394547839,2046207670631964928,,False
TIC 100711809,4187837450005193088,3.04,False
TIC 213459719,4291123545113039616,3.68,True
TIC 418189606,1807953155988203264,10.87,False
TIC 275240386,1821708351374312064,8.06,False
TIC 244330163,1834788970646666112,1.2,True
TIC 86876073,1809456806859123584,4.06,False
TIC 87216634,1809360187275432832,6.41,False
TIC 243962745,4224259562941398400,5.72,False
TIC 71391602,4216680418835844864,3.85,False
TIC 205591703,6904703228801028864,1.91,False
TIC 466779616,1735416587180214528,0.53,True
TIC 345194297,1758463038092175232,3.04,True
TIC 283552865,1736838805468812160,14.33,False
TIC 214563192,6885342959337741184,5.57,False
TIC 262143945,1743871762876699776,16.87,False
TIC 388996956,1743592452563243136,1.53,False
TIC 376363393,2689454850844597504,0.53,True
TIC 242020806,6891134705556330880,3.68,True
TIC 452700589,1801210568415251072,5.45,False
TIC 258038021,1781003885454165888,1.2,True
TIC 399897311,1898230241798771584,1.2,True
TIC 119514195,1906647037667895424,13.2,False
TIC 422438669,2704912403783213696,3.04,True
TIC 251042502,2623505219992303104,3.35,True
TIC 60716322,2719475542667772416,12.67,False
TIC 60781630,2720132500864789760,0.45,True
TIC 278870306,2636589099125426816,5.73,False
TIC 431698314,1909581805999126784,3.18,True
TIC 173925925,1937003729077791616,11.55,False
TIC 173924720,1937923436193950080,0.53,True
TIC 49644110,2436812303124645504,8.46,False
TIC 176791985,1939093660163197312,8.28,False
