star_name,gaiadr3,vsini,l_vsini
TIC 371545002,851346566283231616,2.85,False
TIC 39777146,806000816970521728,1.72,False
TIC 367631379,1146337324038514176,41.65,False
TIC 115858251,830239138487431808,3.21,True
TIC 391844777,3750995604764854400,3.8,False
TIC 365006720,3865002247461685248,7.85,False
TIC 53178075,3789271459953459328,9.46,False
TIC 9001920,732857558276385664,3.21,True
TIC 143047975,3566643651231641600,0.53,True
TIC 425282449,3815264842546968192,5.31,False
TIC 309599261,4034171629042489088,3.26,True
TIC 398269300,3518916943846357376,3.21,True
TIC 22481324,3517119173615245824,3.19,False
TIC 460814512,3934198156329809152,3.6,False
TIC 160010717,3957887649746830976,6.24,False
TIC 2491738,3524996177995941632,6.91,False
TIC 422478973,3507879565090229888,4.09,False
TIC 393713800,3712538708114516736,3.34,False
TIC 378993741,3719665845564967552,8.66,False
TIC 61110114,3661492609484469504,1.9,False
TIC 390730327,3725115471868587904,6.76,False
TIC 72506701,1244571953471006720,17.86,False
TIC 458457378,1230894097540611968,3.66,False
TIC 6095985,3639984066101401344,3.21,False
TIC 203230367,3642413746280598784,8.15,False
TIC 156641715,1284721994948665216,1.9,True
TIC 157966796,1284257623084916480,7.32,False
TIC 349606708,1176209886733406592,9.22,False
TIC 466493185,6286606170175267840,6.19,False
TIC 450354414,1185619988280226944,6.0,False
TIC 416612744,1234693112077610880,0.53,True
TIC 386886976,6309706875115188224,5.95,False
TIC 349714736,1174189362318863488,,False
TIC 287157634,6232511606838403968,7.68,False
TIC 38838329,4418203587193988480,2.12,False
TIC 461272840,4419140645978987904,8.07,False
TIC 180325572,6335064087152916224,3.21,True
TIC 388734737,6213789290343029760,6.8,False
TIC 12399528,6260386975385254656,3.21,True
TIC 272595871,4422809716282811776,7.48,False
TIC 236316949,1219254942328596736,4.35,False
TIC 48668374,6244076338858859776,6.24,False
TIC 413623346,4329057039841257728,5.89,False
TIC 142456308,4364527594192166400,1.9,True
TIC 297236135,4381502851133968128,8.0,False
TIC 351654581,4548462729742343296,6.4,False
TIC 327860248,4375233191015944192,3.21,True
TIC 165347984,4111366313257506560,1.9,True
TIC 39464221,1335880415564253312,5.12,False
TIC 104572330,4177224620176470912,51.51,False
TIC 75946144,4610177733290768896,4.82,False
TIC 47579336,2145277550935525760,8.81,False
TIC 20601206,2043885295914531072,6.8,False
TIC 275240386,1821708351374312064,5.38,False
TIC 188401533,6854626246593473792,3.5,False
TIC 269995013,6805455124526007424,34.94,False
TIC 165602000,1872046609345556480,4.72,False
TIC 165602023,1872046574983497216,3.21,True
TIC 404393507,2216158427021654528,9.09,False
TIC 301880196,1772187382746856320,12.81,False
TIC 50227884,2619706544757416192,3.98,False
TIC 12723528,2595463996992115840,11.78,False
TIC 69889261,6628926642897745664,33.31,False
TIC 139298196,2835207319109249920,4.99,False
TIC 419012256,2396530698208685312,3.21,True
TIC 251078597,1022456104850892928,3.21,True
