,star_name,TSS_tier,ra,dec,Teff,sy_dist,Vmag,Ksmag,Age,vsini_adopt,e_vsini_adopt,r_vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,RHK_calculated_pyastro,prot_adopt,r_prot_adopt,tau_cranmer11,act_cycle_adopt,phot_jitter_adopt
7002,TIC 198483749,3,192.94678929488,22.54429878703,4056.7,40.39740753173828,10.473,7.252,,,nan,nan,,,,,3.4142,2026arXiv260305586B,39.33420585921887,,20077.0
7003,TIC 150385159,3,192.9480376843,59.80798775134,4258.69,43.67985153198242,10.62,7.676,,,nan,nan,,,,,11.850649,2023ApJS..268....4F,35.44788534240405,,126.92867
7004,TIC 156514310,3,193.00904160663,25.45662702011,4359.22,39.10558319091797,9.92,6.947,,,nan,nan,1.114,,-4.388264577280114,-4.554251211608573,9.784004,2023ApJS..268....4F,33.65142844948773,,447.589491
7005,TIC 198484938,3,193.04051628281,22.7368970898,3959.58,48.69756317138672,11.433,7.779,,,nan,nan,,,,,,nan,41.34622793433458,,
7006,TIC 412542081,3,193.04851633102,-56.57444095482,5697.0,49.44237518310547,8.46,6.896,5.001,1.822,nan,2020A&A...634A.136C,,,,,,nan,14.066455859715562,,
7007,TIC 198484946,3,193.06365857796,22.79733471763,4259.78,48.662723541259766,11.183,8.099,,,nan,nan,,,,,,nan,35.427938902458614,,
7008,TIC 330800217,3,193.20243334517,33.73757168371,4571.0,33.73549270629883,9.451,6.846,3.541,,nan,nan,0.618263157895,,-4.562165769782144,-4.549508331590586,8.134448,2023ApJS..268....4F,30.130510767930918,,1480.519554
7009,TIC 92133050,3,193.26236943698,16.85158425264,4452.58,34.242340087890625,10.19,7.346,,,nan,nan,,,,,6.835236,2023ApJS..268....4F,32.05759919134565,,281.1604
7010,TIC 53304943,3,193.29648511187,-3.5530967096,6459.0,33.39470291137695,6.11,4.993,3.015,26.0,1.1,2007A&A...475..519H,0.2153,-4.63,-4.524576808485476,-4.610417550834233,2.503876,2023ApJS..268....4F,1.8878059041378072,,276.887388
7011,TIC 954006097,3,193.32360151872,21.24455095096,4789.79,,,,,,nan,nan,,,,,6.577827,2023ApJS..268....4F,26.8095791235597,,1920.504511
7012,TIC 145006683,3,193.35912232333,-40.17892145812,7567.43,45.51849365234375,4.27,3.714,,92.4,4.6,2012A&A...542A.116A,,,,,0.769527,2023ApJS..268....4F,0.0020000000001699895,,49.619122
7013,TIC 198485277,3,193.38377722184,19.48106256209,5428.0,44.56114959716797,6.418,4.585,,2.95,0.98,2020ApJ...898..119R,0.156,-5.06,-5.020269053616169,-5.08529259480654,,nan,18.01551620022908,,
7014,TIC 345943668,3,193.42481565435,-13.64493303704,5784.73,49.63941192626953,8.54,6.957,3.965,,nan,nan,,,,,,nan,12.668590139337345,,
7015,TIC 248108784,3,193.43352283759,-47.32349385266,3812.0,49.79039001464844,12.319,8.607,,,nan,nan,,,,,18.5487,2026arXiv260305586B,44.5983419488397,,1514.0
7016,TIC 168165430,3,193.44919288691,-50.82641038785,3503.0,33.81336212158203,12.75,8.352,,,nan,nan,,,,,,nan,52.25081019142477,,
7017,TIC 390692143,3,193.47667102121,6.76289777821,5088.7,27.29534912109375,8.24,6.151,12.9,1.0,1.1,2007A&A...475..519H,,-4.61,,,7.566398,2023ApJS..268....4F,22.62996798243892,,386.554469
7018,TIC 436278486,3,193.49669,-60.335602,,,,7.159,,,nan,nan,,,,,,nan,,,
7019,TIC 150387644,3,193.50739905026,55.95979735258,9333.0,24.3397,1.77,1.625,,,nan,nan,,,,,,nan,0.002,,
7020,TIC 361397288,3,193.62124551043,-74.5023363391,3640.0,27.331302642822266,11.913,7.726,,,nan,nan,,,,,9.113013,2023ApJS..268....4F,48.70891586510345,,518.996998
7021,TIC 92139972,3,193.634767696,14.87186731841,3706.0,49.86111831665039,12.699,8.736,,,nan,nan,,,,,,nan,47.08893237259771,,
7022,TIC 145015449,3,193.64083251013,-38.18956399345,4148.81,46.84986877441406,11.251,8.057,,,nan,nan,,,,,19.6571,2026arXiv260305586B,37.513968608610604,,866.0
