,star_name,TSS_tier,ra,dec,Teff,sy_dist,sy_vmag,Age,vsini_adopt,S_index_adopt,RHK_adopt,RHK_calculated_marvin23,prot_adopt,r_prot_adopt,act_cycle_adopt,phot_jitter_adopt
7329,TIC 404511021,3,202.32090177126,9.29827303684,5453.35,48.85433197021485,9.002,5.156,,,,,,nan,,
7330,TIC 405501056,3,202.3379707637,-35.57099618856,5670.0,32.28522872924805,7.25,,1.778,0.1578,-5.023,-4.676938290657067,3.146379,fetherolf24,,33.963557
7331,TIC 404510606,3,202.338797638,11.44073663598,3423.0,19.1001033782959,11.96,,,,,,,nan,,
7332,TIC 297146112,3,202.35036521287,-14.37008818698,3361.0,24.11448097229004,13.132,,,,,,,nan,,
7333,TIC 115080018,3,202.48550226445,-2.97878822564,3720.0,42.99337768554688,12.65,,,,,,,nan,,
7334,TIC 404519959,2,202.49910716805,10.37716232119,3697.0,7.625602722167969,9.029,,,1.2465,,-4.548566465881519,2.683099,fetherolf24,,78.884937
7335,TIC 419909642,3,202.60748708176,-52.04451105584,3358.0,17.661008834838867,13.1,,,,,,,nan,,
7336,TIC 420003567,3,202.64326306265,-52.99473944941,3714.0,29.15987777709961,11.0,,,,,,,nan,,
7337,TIC 32086403,3,202.64380959365,-18.25982942885,3791.0,39.31182098388672,11.906,,,,,,,nan,,
7338,TIC 243144193,3,202.65156238771,-42.63090306996,4246.0,28.8888,9.51,,,,,,,nan,,
7339,TIC 32085776,3,202.67062339638,-20.65104104551,3299.0,17.132518768310547,12.432,,,,,,,nan,,
7340,TIC 288433148,3,202.7019566928,45.78206686468,3780.0,44.88433456420898,12.424,,,,,,2.356816,fetherolf24,,247.263852
7341,TIC 131329169,3,202.71910229988,-32.63016552861,4014.4,40.72669982910156,11.48,,,,,,,nan,,
7342,TIC 58632438,3,202.73115920151,-25.98104677831,4158.86,40.62589645385742,11.155,,,,,,,nan,,
7343,TIC 58632462,3,202.73677119518,-26.03495827805,3757.0,40.63555908203125,12.63,,,,,,,nan,,
7344,TIC 22745718,3,202.75185629101,36.44105581867,4753.04,47.91053009033203,10.01,12.32,,,,,,nan,,
7345,TIC 22745719,3,202.75253205749,36.43943841637,4444.78,47.94108581542969,10.74,13.409,,,,,,nan,,
7346,TIC 288433563,3,202.75477443035,42.98333310951,4984.0,45.696964263916016,9.61,11.12,,,,,,nan,,
7347,TIC 365095472,3,202.76385206448,4.47319090213,4941.35,33.56089401245117,9.02,11.545,,,,,11.262204,fetherolf24,,798.456362
7348,TIC 461247319,3,202.81438140913,-38.31941079328,4450.28,40.10472106933594,10.44,,,,,,4.922779,fetherolf24,,395.405297
7349,TIC 32086543,3,202.84296163139,-18.06680379164,4544.07,38.09877395629883,9.84,,,,,,10.175184,fetherolf24,,2399.724022
7350,TIC 461248973,3,202.84333324148,-36.19281130931,3849.0,28.388696670532227,11.058,,,,,,8.622358,fetherolf24,,370.151948
7351,TIC 32088700,3,202.86408031824,-23.08240404973,3597.0,39.74403381347656,12.53,,,,,,,nan,,
7352,TIC 159209261,3,202.89055606541,58.95286245659,5866.0,47.88694381713867,8.09,4.259,5.7,,,,6.454672,fetherolf24,,610.662043
7353,TIC 130712175,3,202.91641237711,-2.31739339536,5226.0,30.9119,7.36,13.41,5.5,0.182,-4.94,-4.7429356869057635,37.0,wright04,,
7354,TIC 368129164,3,202.94422691833,29.27688726732,3229.0,18.2857,12.02,,,,,,0.268276,fetherolf24,,6598.113821
7355,TIC 288434679,3,202.95397236499,46.76734833747,3728.0,34.600181579589844,12.458,,,,,,,nan,,
7356,TIC 424735155,3,202.96076416306,23.38899385728,3496.0,19.35363006591797,12.233,,,,,,,nan,,
7357,TIC 457071698,3,202.96507392125,-56.2283157717,4013.32,45.63276672363281,14.229,,,,,,,nan,,
7358,TIC 243192936,3,203.06715063321,-47.41854432808,5125.0,40.97263717651367,9.16,,4.0,,,,,nan,,
7359,TIC 243194645,3,203.10648164248,-47.27136482867,5995.0,37.63688278198242,7.17,7.631,2.454,0.1591,-4.9788,-4.580602485433053,,nan,,
7360,TIC 58715528,3,203.14361080165,-29.56526207097,6820.0,49.242942810058594,6.436,2.412,13.0,,,,4.601974,fetherolf24,,214.700522
7361,TIC 298130822,3,203.17089839121,75.00689069149,4255.85,35.373165130615234,10.25,,,1.10566666667,,-4.287815656020114,7.74803,fetherolf24,,185.688598
7362,TIC 371879317,3,203.1737062158,22.50184541952,4595.81,46.0617,9.622,,,,,,1.0393,watson06,,21156.746766
7363,TIC 471012363,3,203.1855,16.8103,3373.44,21.8986,11.423,,,,,,,nan,,
7364,TIC 95548046,3,203.1858,16.8108,3373.44,21.8986,11.423,,,,,,,nan,,
7365,TIC 471011833,3,203.18585420928,16.81086473981,3559.89,16.62947654724121,11.42,,,,,,,nan,,
7366,TIC 1003051908,3,203.18648482669,16.8114580611,3496.43,16.665346145629883,12.384,,,,,,,nan,,
7367,TIC 461277678,3,203.27528760611,-39.95429518637,3458.0,22.907873153686523,13.07,,,,,,5.14503,fetherolf24,,242.188194
7368,TIC 459221889,3,203.28421342155,43.2527479948,4485.33,31.16031837463379,9.31,,,,,,4.003322,fetherolf24,,941.150573
7369,TIC 619444,3,203.2971422113,-8.44334725164,5885.0,33.458091735839844,7.36,6.99,3.0,0.281,,-4.267373135135262,,nan,,
7370,TIC 394947052,3,203.30691205228,-77.5693883797,6429.0,34.55353927612305,6.52,3.255,4.0,0.137,,-4.608927755457005,6.117798,fetherolf24,,42.413227
7371,TIC 394947057,3,203.32779706986,-77.57356465128,4890.64,34.533599853515625,9.28,4.792,,,,,,nan,,
7372,TIC 243215335,3,203.37255106807,-43.42276897744,6459.4,41.1037712097168,6.65,3.127,18.0,,,,4.235602,fetherolf24,,132.515285
7373,TIC 321438562,3,203.38256677006,30.15761584493,5062.95,40.53049087524414,9.08,8.423,,,,,6.760899,fetherolf24,,783.681916
7374,TIC 378993741,3,203.3849984084,8.5867630028,4830.0,18.126955032348636,7.959,10.971,1.64,0.5466,-4.548,-4.336122175258989,3.452742,fetherolf24,,348.243676
7375,TIC 365154484,3,203.45987175076,4.84498174363,3823.0,49.67982482910156,11.018,,,,,,,nan,,
7376,TIC 241276560,3,203.51250624629,-49.9255254585,4036.42,46.05063247680664,11.1,,,,,,,nan,,
7377,TIC 321439183,3,203.51349075013,33.22839258371,4568.0,22.66322326660156,9.19,,3.8,0.66025,-4.51,-4.370061292543769,5.126213,fetherolf24,,276.954862
7378,TIC 22791093,3,203.52315494815,37.63737485716,4608.4,37.35555648803711,9.94,,,,,,,nan,,
7379,TIC 243230161,3,203.55527979788,-47.24374297901,5736.5,44.03374862670898,8.45,3.919,1.0,,,,9.151729,fetherolf24,,99.87386
7380,TIC 130725942,3,203.56773985332,-0.31377338807,4849.0,26.84815788269043,7.338,8.18,3.0,,,,,nan,,
7381,TIC 1002549140,3,203.56821328045,-0.31412561286,5021.0,27.267587661743164,8.63,13.297,,,,,,nan,,
7382,TIC 165636116,3,203.57894888097,-36.52371050908,4738.0,34.04448699951172,9.38,13.434,,0.6949,-4.4891,-4.265766590908075,5.773919,fetherolf24,,219.62313
7383,TIC 365159477,3,203.58959241278,4.66739981131,3949.0,20.40467834472656,9.927,,,1.27866666667,,-4.385753669494908,2.574293,fetherolf24,,136.785626
7384,TIC 58760627,3,203.60365082423,-27.50662974225,4809.0,36.98606872558594,9.26,7.18,1.0,,,,,nan,,
7385,TIC 445857995,3,203.63571363272,68.50566065008,3759.0,49.673927307128906,12.611,,,,,,0.808414,fetherolf24,,343.774664
7386,TIC 165661146,3,203.63604105605,-38.90721287885,5693.0,30.17441177368164,7.27,12.92,4.0,0.193,,-4.540747285223598,3.477001,fetherolf24,,48.302089
7387,TIC 130726180,3,203.67330678158,-0.59583544627,8066.83,22.84645271301269,3.38,0.804,221.6,,,,0.09712,fetherolf24,,925.588849
7389,TIC 22817261,3,203.69920328144,37.18241501958,6649.6,46.80908584594727,4.98,,14.0,0.7144,,-3.65512518882951,,nan,,
7390,GAIA DR3 1552146862324723328,3,203.7074765,47.3762107,4449.0,36.71979522705078,,11.35,,,,,,nan,,
7391,TIC 298159713,3,203.72356504271,74.50040153965,4562.79,39.35726165771485,9.8,,,,,,,nan,,
