hpic_name,vsx_name,period(d)
TIC 220537366,ASASSN-V J025231.36-621617.1,6.7687
TIC 220539110,ASAS J025346-6135.4,0.7729
TIC 220410075,ASASSN-V J044222.67-545938.2,49.67
TIC 140157120,ASASSN-V J035355.68-373859.1,5.27
TIC 7738623,ASAS J042616-3757.4,0.7869
TIC 686276845,ASASSN-V J042208.25-284906.4,0.996825
TIC 152372557,ASASSN-V J042208.25-284906.4,0.996825
TIC 44796808,ASASSN-V J040939.37-264850.3,3.713
TIC 178947176,ASAS J043535-2527.4,2.785
TIC 178805087,Gaia DR3 4896480390678599168,17.45
TIC 179034958,ASASSN-V J041737.08-241949.9,4.8467
TIC 355766445,ASASSN-V J001527.52-641454.8,3.6956
TIC 234520515,ASASSN-V J005901.99-605413.0,17.938
TIC 117874959,ASASSN-V J003935.80-381658.6,6.3161
TIC 41858828,ASAS J012110-3729.5,2.263
TIC 140460192,ASAS J012205-3337.0,9.58
TIC 11614297,ASASSN-V J012244.10-254707.5,34.03
TIC 209451163,ASASSN-V J030245.62-343023.6,13.802
TIC 93088834,ASAS J033146-1525.2,3.076
TIC 404476412,ASASSN-V J022940.99-164930.2,45.09
TIC 55875605,ASASSN-V J031911.81-141134.3,16.865
TIC 141332789,ASASSN-V J030321.46-080516.0,0.626457
TIC 453442366,ASASSN-V J100743.34-774840.2,7.6023
TIC 272232401,ASAS J074912-7641.9,2.827
TIC 397188848,ASAS J084657-7246.7,9.417
TIC 304217972,ASAS J092757-6606.3,8.293
GAIA DR3 1156350542072311936,ASAS J150759+0415.1,3.436
GAIA DR3 1229054374069267072,ASASSN-V J142634.33+153215.9,0.806695
GAIA DR3 1777019255313788928,ASASSN-V J221659.35+182355.7,9.0588
GAIA DR3 1851868127125091840,Gaia DR3 1851868127125091840,0.59577
GAIA DR3 2312002988748576640,ASASSN-V J234326.93-344659.1,6.0946
GAIA DR3 2312078550109349888,ASASSN-V J235000.51-350230.5,38.73
GAIA DR3 2427825582274968576,ASASSN-V J000714.02-103629.3,0.999321
GAIA DR3 2924599091919101568,Gaia DR3 2924599091919101568,9.6014
GAIA DR3 2991362056431878912,Gaia DR3 2991362056431878912,2.52223
GAIA DR3 3062970156370624512,ASAS J081351-0738.4,0.32595
GAIA DR3 3385254533644096384,ASASSN-V J065105.52+272036.1,16.962
GAIA DR3 3793073055765603072,ASASSN-V J114404.92-014436.2,33.18
GAIA DR3 4809858558243917440,ASASSN-V J050759.72-474412.1,46.61
GAIA DR3 4900997562402605952,ASASSN-V J003025.90-623602.4,1.9367
GAIA DR3 5047297067767149056,ASASSN-V J031650.50-350938.1,0.682471
GAIA DR3 5176144780975494144,ASAS J021559-0929.3,1.437400
GAIA DR3 5194528576741489408,ASAS J081742-8243.4,1.318
GAIA DR3 6307627767346888064,ASASSN-V J150931.96-154647.3,16.265
GAIA DR3 6896057214818851712,ASASSN-V J211736.07-085411.7,18.194
