hpic_name,gaia_dr3_id,Prot(d),Prot_err(d),amp_g(mag),amp_g_err(mag)
TIC 149732624,4466944284819435776,0.5534954270963598,0.0019071039,0.007094019,0.0014457933
TIC 9854161,6243343170769568128,0.9088185372169736,0.00294062,0.05290342,0.0015898353
TIC 66517256,478996438146017280,5.989140153138443,0.14147101,0.010929922,0.0017162982
TIC 18485128,3406786445943961088,24.377496851892566,0.20669644,0.011772701,0.0017958677
TIC 405946733,589720969909458176,4.034515511514403,0.010737902,0.014660708,6.406363E-4
TIC 17198787,49005581144118784,4.7216474792170775,0.28093308,0.016941177,0.0011096648
TIC 220536421,4724849614880143360,2.339565880938375,0.2351233,0.09287952,0.0016165756
TIC 17740825,1523645047031954944,3.0655352686740476,0.02359268,0.013435134,0.0012960517
TIC 181015118,5382868669400908928,0.9244681369140499,0.014245665,0.041902196,0.0026116206
TIC 106260491,5443805734115740672,7.789166654790339,0.5032529,0.013883135,0.0023482258
TIC 218604599,5701232295587609216,8.111804407532393,0.4163332,0.011766134,0.002442691
TIC 307770692,5731289881171736832,1.7517633890630377,0.036286842,0.053400654,0.006338919
TIC 293148224,5810894115010458752,1.5412029294006904,0.029740505,0.046297148,0.001249398
TIC 233563017,5943153818978489856,5.271043859627434,0.32005787,0.016215825,8.372776E-4
TIC 341660524,5970189504223192960,0.3197182144808863,9.931516E-6,0.057629906,0.001968537
TIC 44082776,5977270148650362112,16.535686658106982,1.3631868,0.01862956,0.0013701555
TIC 255046149,5994697687147207424,13.87389522190134,1.5956615,0.0111040985,0.0014749467
TIC 32545457,6317066765438396928,2.9937145409051977,0.06828056,0.011736136,0.002302953
TIC 372124871,6425298734405767296,1.9524382222323056,0.034844305,0.0607106,0.0022186278
TIC 464405840,6438274728259539072,0.35449048267775657,4.7497248E-5,0.12472046,0.0014627487
TIC 231623694,6456068090569155328,6.936290793690104,0.010032915,0.013152252,8.709526E-4
TIC 139285666,6527965258988306304,4.443116131381556,0.242912,0.018815922,0.0050356556
TIC 139267068,6539943647899014400,11.016762342616502,0.38106486,0.026829526,0.0012895847
TIC 101544662,6666178680963755008,1.1089089589065568,0.007575653,0.11825392,9.505386E-4
TIC 290970527,6683306151547010688,2.0157749796148927,0.09578035,0.035555437,0.0032917762
TIC 204441257,6785377870401276288,9.48628765903533,0.90284103,0.012205917,0.0017337839
TIC 427736349,67351757289092224,5.522330431272664,0.6861411,0.012410652,0.0014169927
TIC 266599363,247551508241765504,3.7686093693888267,0.110989265,0.00689107,6.9070817E-4
TIC 65203525,248004472671505152,0.5381813163221967,4.3913868E-5,0.09468917,0.0016937687
TIC 328189437,262487308550679040,10.891708226453373,0.997737,0.011861203,0.0015994476
TIC 190974401,382167740483722112,3.1285249353248155,0.048966408,0.032251865,0.0013568917
TIC 331609888,414108140961406208,22.953162483882295,0.13435258,0.05227538,0.0020707955
TIC 240682712,416135846558362112,9.932037117392174,1.0661749,0.013613326,0.0025414163
