hpic_name,TICID,period_rot(d),period_rot_err(dd),amp_median(%)
TIC 135170902,135170902,19.9205,2.2482,0.1297
TIC 450350938,450350938,15.9356,1.4443,0.2125
TIC 187309694,187309694,13.6463,1.0626,0.5105
TIC 380881837,380881837,17.5941,1.7574,0.3903
TIC 60842934,60842934,15.5238,1.3714,0.2357
TIC 211445010,211445010,10.4811,0.4488,0.4175
TIC 203365781,203365781,12.79,0.9349,0.3237
TIC 179714354,179714354,8.6877,0.3085,0.5448
TIC 173106845,173106845,11.1775,0.7165,0.3287
TIC 48536669,48536669,8.8611,0.3221,0.5945
TIC 101361479,101361479,20.6185,2.4072,0.1404
TIC 248071977,248071977,20.7334,1.4069,0.1686
TIC 345356533,345356533,7.1999,0.3018,0.1379
TIC 144250882,144250882,19.8378,2.2297,0.1294
TIC 135154868,135154868,10.34,0.6145,0.2722
TIC 17740827,17740827,5.3361,0.0973,1.0512
TIC 345201140,345201140,21.5623,2.6309,0.1483
TIC 243154339,243154339,0.6746,0.0037,0.1096
TIC 355793860,355793860,3.3604,0.0487,0.4729
TIC 262845999,262845999,22.1873,1.9714,0.1405
TIC 384846316,384846316,20.8998,2.4729,0.1806
TIC 385142111,385142111,19.6014,2.1773,0.1402
TIC 2591769,2591769,0.6735,0.0037,0.6316
TIC 1342080634,1342080634,0.3264,0.0007,0.8113
TIC 340459410,340459410,3.66,0.0163,0.5955
TIC 346897967,346897967,20.0639,2.2804,0.2039
TIC 295680935,295680935,13.9001,1.1021,0.1107
TIC 301677029,301677029,20.4858,2.3766,0.2732
TIC 241162993,241162993,16.3631,1.5221,0.1005
TIC 160059095,160059095,3.8392,0.0629,0.5847
TIC 35301789,35301789,6.94,0.2809,0.2987
TIC 430909324,430909324,7.8097,0.3539,0.1026
TIC 100123854,100123854,21.324,2.5735,0.1535
TIC 357501308,357501308,21.0754,2.5143,0.2011
TIC 322925967,322925967,14.4893,1.1964,0.4902
TIC 23750728,23750728,11.7801,0.7947,0.2601
TIC 203222051,203222051,15.637,1.3912,0.3268
TIC 26702488,26702488,10.0803,0.5845,0.0889
TIC 328936940,328936940,17.9417,1.8269,0.1139
TIC 71911798,71911798,13.567,1.0504,0.4192
TIC 143400516,143400516,15.2381,0.9731,0.1141
TIC 116486054,116486054,9.8263,0.2296,1.1889
TIC 88190352,88190352,3.1698,0.0616,0.8107
TIC 119175635,119175635,3.8976,0.0648,1.1814
TIC 286946486,286946486,4.3932,0.0816,0.1831
TIC 150977490,150977490,8.6124,0.3217,0.2493
TIC 6131661,6131661,9.7407,0.5463,0.18
TIC 175735195,175735195,13.7506,1.0787,0.1848
TIC 423529214,423529214,13.9629,0.7863,0.141
TIC 402231298,402231298,4.1604,0.1039,0.3421
TIC 157379148,157379148,8.9305,0.3257,0.4823
TIC 6131663,6131663,9.7407,0.5463,0.18
TIC 365159477,365159477,17.426,1.7243,0.135
TIC 385082619,385082619,19.1396,2.0767,0.1184
TIC 77503171,77503171,0.3773,0.0015,0.2824
TIC 368841426,368841426,3.7206,0.0838,0.294
TIC 48881783,48881783,0.7758,0.0047,0.1998
TIC 952115377,952115377,0.6713,0.0026,2.3727
TIC 328067746,328067746,19.7106,1.5573,0.1338
TIC 229550884,229550884,7.7164,0.3457,0.314
TIC 404510606,404510606,21.8964,2.7125,0.1545
TIC 142591775,142591775,16.3754,1.0859,0.1726
TIC 115863808,115863808,5.6301,0.132,2.1585
TIC 294303016,294303016,23.5265,3.1283,0.2653
TIC 12399528,12399528,16.2716,1.5053,0.1975
TIC 189790392,189790392,10.194,0.5975,0.9001
TIC 128895367,128895367,8.3584,0.2859,0.9174
TIC 72599316,72599316,9.7949,0.5523,0.1854
TIC 336891162,336891162,22.4049,2.839,0.135
TIC 204640973,204640973,15.0021,0.7484,0.2687
