,star_name,gaiadr3,HD,logRHK
134,TIC 121025936,5107106033552702464,23356,-4.750
135,TIC 129887847,4856592239127350272,23484,-4.443
136,TIC 434138790,36590651757883392,,
137,TIC 201242997,231113740685855616,23439,-5.085
138,TIC 85623041,493650660400463488,23189,-4.940
139,TIC 101101072,4842581574771373056,24331,-4.900
140,TIC 440702883,64085383120724864,24206,-4.770
141,TIC 242942985,43499295632961152,24496,-4.825
142,TIC 55440009,3244915072792668160,,
143,TIC 393194318,474648763011926272,24238,-5.000
144,TIC 140206488,4843073709303881728,25004,-4.410
145,TIC 49934959,3256334497479304704,24916,-4.410
146,TIC 38425450,4679878730311238656,25874,-4.923
147,TIC 15736408,53112944270520832,25680,-4.523
148,TIC 178351350,5091077112524265472,,
149,TIC 38469670,4675955810263106560,26491,-4.890
150,TIC 358289822,4681579571719845888,,
151,TIC 353257675,225668203191521280,25998,-4.448
152,TIC 467729221,170639948323693952,281621,
153,TIC 102718782,493935296471302784,25665,-4.740
154,TIC 102806077,494177257749671936,,
155,TIC 103224787,551239506048106880,26018,
156,TIC 283792891,3285218255623808512,26913,-4.390
157,TIC 372438484,469486109244322176,26581,
158,TIC 219234564,4780166972587269120,27274,-4.855
159,TIC 347423833,177425034575534464,26900,-4.480
160,TIC 168873517,4869267924568297472,,
161,TIC 358290717,4775347916201249792,28255,-4.883
162,TIC 27936849,257134507991047936,28005,-5.070
163,TIC 449098466,3278753264691218432,,
164,TIC 452785002,3282511876473223680,28946,-4.805
165,TIC 301083272,4791496409119238144,29220,-4.460
166,TIC 170766454,4867596937475716096,29231,-4.727
167,TIC 125838647,151650076838458112,283750,-3.950
168,TIC 118820774,3411339626674506752,29697,-3.960
169,TIC 391095065,204358907633155840,29587,-4.845
170,TIC 220412945,4777373903814123520,30278,-4.945
171,TIC 125918626,154660191781205120,29883,
172,TIC 259539733,4784805056230587392,30501,-4.675
173,TIC 167485954,3181588219554237440,30523,-4.350
174,TIC 176379354,3188395880157173248,30562,-5.073
175,TIC 114921859,3173510176346843136,,
176,TIC 685301469,4777123627479193600,31027,-4.875
177,TIC 1271818,4866978844438657024,30876,-4.530
178,TIC 66320112,478737331356716800,,
179,TIC 1275381,4866887138297036800,31143,-4.830
180,TIC 18872464,3413174741644826112,30973,-4.520
181,TIC 120853136,198228619207418752,31000,-4.420
182,TIC 1334907,4824866896260056064,31392,-4.725
183,TIC 682491,4879850208590380032,31560,-4.620
184,TIC 452763353,3231945508509506048,,
185,TIC 220473309,4764027962957023232,,
186,TIC 303676299,3391737292854785024,32237,
187,TIC 220476607,4764556724971292672,32778,-4.840
188,TIC 219367750,4785713458992582656,32743,-4.440
189,TIC 381949148,4763897739549071360,,
190,TIC 284794221,3290765291786058752,33021,-5.100
191,TIC 262300150,3238810137558836224,33636,-4.865
192,TIC 43866397,3182634954624823296,33725,-4.865
193,TIC 187586126,201140400878588544,277656,
194,TIC 187679739,187247281185703296,33632,-4.810
195,TIC 454183305,3233691292456404992,290054,-4.750
196,TIC 408191403,2962193318618003456,34751,-4.570
197,TIC 408190069,2981583790287411200,34721,-4.975
198,TIC 672129447,3213958769589070848,34673,-4.670
