,star_name,gaiadr3,HD,logRHK
575,TIC 136916387,5902750168276592640,136352,-4.920
576,TIC 36981205,6316161317608434688,136713,-4.770
577,TIC 461330181,4420712604009198080,136834,-4.855
578,TIC 345585983,1209182041427374080,136923,-4.780
579,TIC 292206680,6213644846302305280,136894,-4.960
580,TIC 388734737,6213789290343029760,137303,-4.670
581,TIC 392982986,1165859359148269568,,
582,TIC 371228841,4421274729329022464,,
583,TIC 159331746,1720995598827435520,139777,-4.300
584,TIC 159331748,1720995598827437056,139813,-4.400
585,TIC 20997718,4400452830957830656,138763,-4.300
586,TIC 198315173,1603267143629157120,139477,
587,TIC 148817611,1389522392427772416,139323,-4.980
588,TIC 12399528,6260386975385254912,139763,-4.480
589,TIC 179348425,6009538585839374336,140901,-4.707
590,TIC 272595871,4422809716282811904,141272,-4.365
591,TIC 160471808,1703559779655983616,142474,
592,TIC 254877683,5987608379774691328,329879,
593,TIC 446193444,4456127942261895680,,
594,TIC 310137822,1597204161635741952,142626,-4.750
595,TIC 172607904,1191518146611956224,142267,-4.850
596,TIC 24190130,6235558525363302400,142288,-4.700
597,TIC 255263370,5994771148252505088,142709,-4.860
598,TIC 237096607,1647986068237087232,144061,
599,TIC 258177087,1316590033811496960,143291,-5.000
600,TIC 49777149,4343064577465522688,144087,-4.665
601,TIC 49777150,4343064508746082304,144088,-4.615
602,TIC 24089803,1379500756257031680,144579,-4.980
603,TIC 48668374,6244076338858859520,144253,-4.960
604,TIC 24108307,1379416712336909312,144872,-4.715
605,TIC 410994457,4341501106288171008,144585,-5.075
606,TIC 411083824,4341712281239980032,144840,-5.060
607,TIC 361082817,5806825406592132096,144009,-4.843
608,TIC 206828302,5835498883232034816,144628,-4.983
609,TIC 219483057,1385293808145621504,145675,-5.055
610,TIC 119985831,4464207428577214464,145958,-4.945
611,TIC 207556694,5835113573101867008,145417,-5.023
612,TIC 95789856,6035927380304633856,145825,-4.735
613,TIC 17542164,1328866562170960384,146361,-3.720
614,TIC 198160324,1625058605098521600,146868,
615,TIC 17563913,1329936043387566592,,
616,TIC 318628394,4450372376847499776,146413,-4.570
617,TIC 411382868,5935496128485727232,146124,-4.680
618,TIC 17618172,1319438043804452352,146946,-4.800
619,TIC 208538982,5931674608438450176,146464,-4.090
620,TIC 316351116,5941689784906655744,146800,-5.020
621,TIC 39903437,1380821338441693184,,
622,TIC 71960105,4356054757585316864,147512,-4.960
623,TIC 413623346,4329057039841257472,147776,-4.750
624,TIC 223456058,5992208427189627904,147555,-4.690
625,TIC 149796418,4465681461355625984,,
626,TIC 5898974,4431838321653479424,,
627,TIC 318946785,4439625337884135936,148467,
628,TIC 211344776,6025604409224636416,148303,-4.770
629,TIC 362747897,5808612830236138496,147584,-4.545
630,TIC 1205012280,4467355158571184128,148653,-4.550
631,TIC 159511543,1709456705329541632,150706,-4.560
632,TIC 26702488,5930568598406530048,149192,-4.550
633,TIC 57032454,1312589288953960448,149957,-4.630
634,TIC 281738302,4383374219923744768,149806,-4.860
635,TIC 281040489,6024291489270495232,149621,-5.200
636,TIC 222012610,5927236979422123008,149612,-4.833
637,TIC 233438010,5943191236735787008,150248,-4.850
638,TIC 274242146,1412260533408744960,151044,-4.980
639,TIC 230123572,1648568843759668480,151541,-5.020
640,TIC 77929282,5970956070030449664,150689,-4.505
641,TIC 224329387,1314438839310796800,151288,-4.540
642,TIC 57393179,1352483797057853440,,
643,TIC 447427936,5816051339951212544,,
644,TIC 150553840,4559848344443069952,151995,-4.970
645,TIC 230225787,1408664168312177664,,
646,TIC 326927305,4381250547575102464,152391,-4.438
647,TIC 284472488,4448223656247483904,,
648,TIC 115582977,1408029436569383424,153525,-4.460
649,TIC 115582980,1408029509583934464,153557,-4.400
650,TIC 349490623,4571446199250804224,,
651,TIC 447764108,5914366302446170112,153284,-4.660
652,TIC 198562505,1359938520253565952,154345,-4.890
653,TIC 224608312,1437124683199761920,154712,
654,TIC 20856917,6029992663310612480,154088,-4.980
655,TIC 212984956,5938742337829520384,154387,-4.690
656,TIC 198381449,1420000579871414528,155674,
657,TIC 303655974,5914096303621755904,154577,-4.920
658,TIC 198381445,1419999819661235712,,
659,TIC 275037380,1354166805762941184,,
660,TIC 1305321077,4359814881197436928,155802,
661,TIC 188640759,1416124285987232256,156985,
662,TIC 311649327,5801950515627094016,155918,-4.857
663,TIC 59476871,4367026303085396480,157347,-4.995
664,TIC 219880402,1637110042813188608,158633,-4.930
665,TIC 188768068,1416050859226670848,158259,
666,TIC 327860248,4375233191015944192,157881,-4.460
667,TIC 165347984,4111366313257506816,158233,-4.630
668,TIC 270258076,1362295082910131200,159062,-4.960
669,TIC 39464221,1335880415564253184,159222,-4.913
670,TIC 233192934,1651235193817400320,160964,
671,TIC 233196602,1651145102583323136,,
672,TIC 219792161,1440964624481230336,161284,
673,TIC 441804565,1651268763282397184,162004,-4.930
674,TIC 113403971,4041857799496807936,161612,-4.945
675,TIC 6737561,4175058204312300032,162283,
676,TIC 275063206,4576863905365412864,,
677,TIC 325225116,4469644028247872512,,
678,TIC 275218861,4503423641091795968,,
679,TIC 22038430,4604269610637580800,,
680,TIC 158711270,4580864547137360384,163840,-4.950
681,TIC 149397312,694917878769233408,,
682,TIC 158917706,4584639307993378304,164595,-5.000
683,TIC 159019691,4582680493669880832,164922,-5.040
684,TIC 180762527,4590489981163831296,166435,-4.213
685,TIC 21016045,2123090918115438592,,
686,TIC 416117806,2115351387048328704,168009,-5.010
687,TIC 406883293,4497494077967197696,,
688,TIC 365725318,6629790584164277248,167425,-4.580
689,TIC 167913198,4270814637616487936,168442,-4.560
690,TIC 168901705,4276624250897321984,,
691,TIC 160991902,6703245382605547520,168871,-4.925
692,TIC 288603793,2294149672988951552,,
693,TIC 324370520,4051606378878066688,170209,-4.710
694,TIC 320508747,4480017821686413312,170510,
695,TIC 133556737,4270446404294208000,170493,-4.810
696,TIC 186271747,4093301474693288960,170657,-4.675
697,TIC 50226706,4508601275714721280,171067,-4.900
698,TIC 119875474,6651058467639412736,170573,-4.720
699,TIC 258666933,4535144998232287232,171314,
700,TIC 217831699,4154598526336121856,,
701,TIC 47579336,2145277550935525888,234677,-4.030
702,TIC 123097014,2110978521928761856,172393,-4.820
703,TIC 123234496,2117279002732678656,173701,-4.870
704,TIC 226107999,4258375617747092992,173818,
705,TIC 93137389,4503794795019023872,174080,
706,TIC 224431102,4511416609607124480,229590,
707,TIC 226327470,4279461609366875648,174719,
708,TIC 227409000,4281201414717499392,175726,-4.410
709,TIC 20785413,2041085973668754176,176377,-4.830
710,TIC 39554091,4199396753205878784,176986,-4.830
711,TIC 197623112,4307162018124573184,178126,
712,TIC 42705187,2042389925739687936,178450,
713,TIC 390997801,6757523628803771392,178076,-4.500
714,TIC 235682463,2292498687560557056,180777,-4.340
715,TIC 298896136,2132788541955849216,179957,-5.030
716,TIC 284359245,2143016302194287616,180161,-4.480
717,TIC 174696260,4267889936728496640,,
718,TIC 210208396,4312905248400130560,180263,-4.740
719,TIC 158983365,2127802875200104448,,
720,TIC 122215177,2051069711047203840,181655,-4.950
721,TIC 394547839,2046207670631964928,182488,-4.990
722,TIC 118882363,6772521384023709696,,
723,TIC 410399074,6434153380720177152,181433,-5.140
724,TIC 110541820,2023112497641814528,182807,
725,TIC 26419206,2129771310248902144,183255,-4.990
726,TIC 1914933968,4316214125609945088,231512,
727,TIC 370406321,2018148889833134080,344502,
728,TIC 287197149,2238597054155896832,184467,-4.940
729,TIC 100711809,4187837450005193216,183870,-4.450
730,TIC 259237827,2261614264931057664,185144,-4.793
731,TIC 113248833,6741156023833749504,183783,-4.880
732,TIC 169578947,6764687466752222208,183877,-4.850
733,TIC 373071009,2018474482692959232,184385,-4.640
734,TIC 275633056,2142179058450057728,185414,
735,TIC 237215017,2289645626686624512,186922,-4.670
736,TIC 27533341,2135550755683405824,186408,-5.003
737,TIC 27533327,2135550755683407360,186427,-4.998
738,TIC 370019110,6642655488681211904,186061,-4.930
739,TIC 1871250590,2035021028896869888,186858,-4.620
740,TIC 57746634,2032017717217569280,332518,-4.600
741,TIC 398523562,4290328769993455616,186704,
742,TIC 435479953,2028211207952435712,187237,-4.760
743,TIC 352300400,2235968637250218496,187748,
744,TIC 83867325,2035577729682322176,226099,
745,TIC 237622598,4190374813602603520,187532,-4.190
746,TIC 281360699,4303735493232528384,187923,-5.040
747,TIC 132706871,5534742080239458304,,
748,TIC 241940434,6863591389529611264,187760,-4.460
749,TIC 241967968,6863535898551993344,188088,-4.520
750,TIC 398449624,6416143002299883520,187456,-4.970
751,TIC 271478281,6748283784056800256,188474,-4.850
752,TIC 281827534,2030317253745186304,189087,-4.630
753,TIC 48769732,4188997606567280640,188807,-4.740
754,TIC 320847025,6449124395465377792,188559,-4.940
755,TIC 211305389,6698960688866464768,189245,-4.100
756,TIC 256364928,1827242816201846272,189733,-4.490
757,TIC 418189606,1807953155988203264,190067,-4.845
758,TIC 101400058,6667318634003429376,189484,-4.870
759,TIC 345217789,4247023886053586432,190007,-4.668
760,TIC 105999792,2029433521248546304,190360,-5.033
761,TIC 287947139,1833199729671740928,190404,-5.017
762,TIC 114786312,6696911783307547648,189931,-4.700
763,TIC 275240386,1821708351374311936,190406,-4.791
764,TIC 244330163,1834788970646666240,190470,-4.720
765,TIC 233342788,2185710338703934976,,
766,TIC 274764311,2061876742143320064,190771,-4.410
767,TIC 352402781,6427244702486210560,189567,-4.830
768,TIC 422044019,6472858766996632576,190422,-4.390
769,TIC 366286774,4250371241820042240,,
770,TIC 86876075,1809456596391861248,191499,-4.970
771,TIC 236866556,2237876496083973632,192139,
772,TIC 75231315,6866310172545095680,191391,-4.520
773,TIC 243962745,4224259562941398528,192263,-4.565
774,TIC 129480666,6669657123437047808,192961,-4.800
775,TIC 34798133,6796392812250051584,194640,-4.880
776,TIC 210119810,1818697205647102720,195034,-4.960
777,TIC 230599898,1863898674120773632,,
778,TIC 17038893,2067948245320365056,195987,-4.930
779,TIC 64804337,2063583390317759488,196850,-4.973
780,TIC 188401533,6854626246593473536,196761,-4.913
781,TIC 326186977,6855358349537380352,196998,-3.840
782,TIC 100670109,6471497502884511744,196877,-4.830
783,TIC 269885278,6795261758382370816,197214,-4.873
784,TIC 76834292,6855520385765481472,,
785,TIC 230746433,1859954627138933760,198425,-4.620
786,TIC 282843610,1858219151114884352,198550,-4.400
787,TIC 365986270,2182197777015312384,,
788,TIC 345194297,1758463038092175360,,
789,TIC 126584063,6484716209628727296,199288,-4.805
790,TIC 205788518,6890278254718504960,199704,-4.920
791,TIC 387809195,2271636863174005504,,
792,TIC 79015105,6477114289313395712,199623,-4.610
793,TIC 92566472,6781117812601143296,199981,-4.540
794,TIC 304379558,2163558855915068416,200560,-4.415
795,TIC 283552865,1736838805468812288,200779,-4.550
796,TIC 214563193,6885342955043185664,200968,-4.590
797,TIC 372361075,6376731416021420032,200505,-4.700
798,TIC 76957315,1852732141404704512,202108,-4.710
799,TIC 289952026,6787883382523590656,201989,-4.523
800,TIC 388996956,1743592452563243008,202575,-4.410
801,TIC 376363393,2689454850844597248,202751,-5.000
802,TIC 439391442,6832674634380238848,203040,-4.490
803,TIC 373445744,1965602679357877504,203454,-4.227
804,TIC 288422718,1745568309317608960,,
805,TIC 355547281,6453300894679705600,203413,-4.620
806,TIC 321684341,2272191085754928640,204521,-4.840
807,TIC 352621507,2692798534424338432,,
808,TIC 370230471,6460163255986109440,203850,-4.970
809,TIC 147113992,6576209007420385280,203985,-4.960
810,TIC 242020806,6891134705556330496,204587,-4.780
811,TIC 283436283,1797276382668029440,,
812,TIC 99837626,6830027182179257344,204941,-5.000
813,TIC 404393507,2216158427021654528,205434,
814,TIC 468487835,1966275713606876672,205286,
815,TIC 139770629,6465749496610128896,205390,-4.567
816,TIC 441120034,6810896745007524864,205905,-4.577
817,TIC 352510765,6370513647703085056,205536,-4.990
818,TIC 264678534,2300641567596591616,207897,-4.790
819,TIC 248046660,1800378139330660864,206374,-4.705
820,TIC 468517470,1954559047126247936,,
821,TIC 197594519,6584461671116751872,207144,-4.930
822,TIC 197602069,6572326052043362304,,
823,TIC 419923552,1960631100090155264,207966,-4.900
824,TIC 406343361,6402486002729580544,,
825,TIC 258038021,1781003885454166016,208038,-4.460
826,TIC 399897311,1898230241798771712,208313,-4.800
827,TIC 18032286,1896891139712235008,208906,
828,TIC 277716959,6409473742721612800,,
829,TIC 404742107,2621051110039688192,209779,
830,TIC 50227884,2619706544757415936,210277,-5.027
831,TIC 119514195,1906647037667895296,210667,-4.553
832,TIC 278614418,6569895822110445568,210918,-5.005
833,TIC 330736514,2005798350576886272,211472,-4.430
834,TIC 367423213,2220169200616370432,,
835,TIC 231704229,6508401923473282048,211970,-4.610
836,TIC 143980902,6511657371244871680,212038,-5.130
837,TIC 69747593,6821533111257080832,212658,-4.310
838,TIC 337464070,2205488624442109952,,
839,TIC 270582021,6614285855300051968,213042,-4.920
840,TIC 325095105,6392033358000733184,,
841,TIC 299127241,1986803359482315776,,
842,TIC 422438669,2704912403783213568,214683,-4.440
843,TIC 47295522,6608490501308343296,214749,-4.380
844,TIC 70460363,6606890608810806272,214759,-4.915
845,TIC 117545429,6519227714961476608,214731,-4.990
846,TIC 251042502,2623505219992303104,215152,-4.820
847,TIC 338930194,2211393521580984320,215500,-4.955
848,TIC 206614902,6603827644293770240,215641,-4.505
849,TIC 434202601,2833330968155957760,,
850,TIC 264899051,2299942278201276416,216520,-4.975
851,TIC 214990792,6544549880063908864,216054,-4.990
852,TIC 60781630,2720132500864789504,216259,-4.987
853,TIC 435838531,2837037662371901440,,
854,TIC 111184885,2411086582892887040,217065,-4.420
855,TIC 38271828,2648914040357320704,217107,-5.083
856,TIC 33424022,2604115877897249280,,
857,TIC 419012256,2396530698208685056,217357,-4.580
858,TIC 278870306,2636589099125426688,217580,-4.980
859,TIC 245325810,2832641058969396736,217813,-4.463
860,TIC 161439851,6514632718428652544,,
861,TIC 427555426,2212272649844661504,,
862,TIC 422556732,2213415145505277952,218209,-4.905
863,TIC 245367276,2831490694929214464,218261,-4.680
864,TIC 204325307,2384342302577019392,218294,-4.440
865,TIC 278952345,2638410646295370752,218566,
866,TIC 260795451,6391176735363140608,218511,-4.520
867,TIC 218046124,2815542965962559488,218687,-4.325
868,TIC 260795157,6387649914378668032,218572,-4.660
869,TIC 455819325,1935133906477014016,218868,-4.840
870,TIC 431698314,1909581805999126784,219538,-4.835
871,TIC 260852224,6388327179181381632,219495,-4.530
872,TIC 260852228,6388328691010410496,219509,-5.100
873,TIC 234991587,6490470881687780352,219764,-4.390
874,TIC 428988656,2282846074981010688,220140,-3.960
875,TIC 173925925,1937003729077791744,220182,-4.378
876,TIC 173924720,1937923436193950208,220221,-4.580
877,TIC 49644110,2436812303124645376,220339,-4.790
878,TIC 174000626,1938330530370223872,220445,
879,TIC 291243756,6528092355661630464,,
880,TIC 432227128,2870739343031622144,221239,-4.670
881,TIC 444314028,2011251030583236352,221354,-5.040
882,TIC 250080475,2633449134434620416,221356,-4.830
883,TIC 434103018,2395031273585836032,221503,-4.430
884,TIC 422618003,2646280705713202688,,
885,TIC 366036174,2871343486014102016,221851,-4.630
886,TIC 206327795,6523442177391052800,,
887,TIC 176791985,1939093660163197440,222143,-4.450
888,TIC 316781121,2324785228033780736,222335,-4.783
889,TIC 66437824,2390702771185162240,222422,-4.870
890,GAIA DR3 2826159850239895296,2826159850239895552,222474,-4.670
891,TIC 316935835,6488532477048918016,222898,-4.540
892,TIC 352786602,2879203933297161216,,
893,TIC 267255100,2742801956727994880,223374,-4.920
894,TIC 352143681,2878734647990815744,,
895,TIC 33985272,2327840667768506368,223515,-4.700
896,TIC 405561257,2867514406706887680,,
897,TIC 406543332,2867175035571212288,,
898,TIC 378358639,2011565220332867584,,
899,TIC 234298029,6485255520080979968,223913,-4.530
900,TIC 437707246,2847644410526748672,224129,-4.360
901,TIC 270259954,2307132568850133504,224228,-4.410
902,TIC 346546437,1940954617956840192,224465,-4.860
903,TIC 65263849,2334879397612667904,224607,-4.460
904,TIC 155295520,2875096978193872896,224635,
905,TIC 401396607,2745473254589480960,224660,-4.530
906,TIC 341573000,1118916397395366656,,
907,TIC 416519074,853820948481913472,,
908,TIC 82285131,3996306127914172928,,
909,TIC 438260486,60186343087140096,,
910,TIC 82285130,3996306127913903104,,
911,TIC 171301335,873931909508892800,,
912,TIC 192468220,240259375324767744,,
913,TIC 75878355,4610267648427698688,,
914,TIC 258940245,2807687883095124992,,
915,TIC 206238582,6840822904599512064,,
916,TIC 284120758,2475331597059676160,,
917,TIC 357348155,3880785530720066048,,
918,TIC 43299926,2061688931804621312,,
919,TIC 139638207,5092190299327752192,,
920,TIC 467361658,2281114756485256704,,
921,TIC 138618021,2164609507982125824,,
922,TIC 173166307,1478100423554138880,,
923,TIC 67542718,2870375610840623104,,
924,TIC 28127268,5138982181310063616,,
925,TIC 67459023,3967223018862270976,,
926,TIC 64736858,2008413057939005952,,
927,TIC 270693260,580473664802608512,,
928,TIC 72368312,4357347405304553984,,
929,TIC 318025884,986657930396493568,,
930,TIC 271668882,2078105327586616832,,
931,TIC 218044102,2815543034682035712,,
932,TIC 56628845,150694566874541824,,
933,TIC 165980070,3363049071685180928,,
934,TIC 437752575,2855386174976559616,,
935,TIC 57916666,2860839993168688128,,
936,TIC 317281689,2967789386125778944,,
937,TIC 114948814,6773976484578476032,,
938,TIC 14343469,3789058803237071872,,
939,TIC 408549305,1150479046901494016,,
940,TIC 402066134,6387813329294043136,,
941,TIC 330191766,4504577990890909184,,

