,angDist,Name,SimbadName,HIP,B-V,VMAG,GSVal,log(R'HK),Per,l_log(Age),log(Age),Svalues,_RA,_DE,recno,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP_1,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID
472,0.156847,7228,HIP 5682,5682,0.551,3.5,0.146,-5.04,14.0,,9.81,Svalues,18.2596,33.1549,72,431365980,18.25960268612,33.15494351067,33.155,18.259,0,5682,2295-01531-1,616-003335,01130230+3309178,,J011302.21+330917.0,314005922300046848,48379416,,STAR,tmgaia2,tmgaia2,-108.076,0.087,-78.627,0.096,gaia2,15.2884,0.0592,gaia2,7.936,0.026,7.41,0.03,,,,,,,,,,,6.384,0.018,6.165,0.024,6.12,0.027,AAA-111-111-000-0-0,6.116,0.091,6.024,0.04,6.129,0.015,6.049,0.044,7.27656,0.000324,6.911,0.006,gbprp,spect,6135.5,147.1,4.0244,0.0864,-0.0747,0.0241,1.734,0.092,1.16,0.158,0.2225,0.0538,DWARF,3.83911,0.12691,65.2871,0.2544,0.0,0.0,60,0.001,,,0.00306,0.0,0.0,,0.165,0.152,0.097,0.087,0.0505,0.0571,0.0749,0.0979,0.1157,0.13812,0.2534,0.2553,bj2018,190.6,103.7,spect,7.57059,0.002748,6.87708,0.004419,1,hipvmag,tycho2b3,,1.40606819069,1.48605787279,18.25904686887,33.1546049777,0.05054968043,0.0438255284,1,0,17398481
473,0.135552,7438,GJ 54.2B,,0.78,,0.275,-4.67,24.0,,9.22,Svalues,18.5935,-7.9109,73,284120758,18.59346216798,-7.9109036908,18.594,-7.91,90,,5273-02652-1,411-001388,01142243-0754393,,,2475331597059676160,2862007,,STAR,tmgaia2,tmgaia2,123.366,0.096,271.446,0.072,gaia2,41.6022,0.0523,gaia2,8.564,0.025,7.836,0.023,,,,,,,,,,,6.402,0.026,6.018,0.027,5.884,0.021,AAA-111-111-000-0-0,,,,,,,,,7.61812,0.000346,7.109,0.006,gbprp,spect,5257.0,122.8,4.6212,0.0828,-0.29,0.07,0.768,0.043,0.9,0.11,1.9844,0.4551,DWARF,0.40618,0.00925,24.0205,0.0304,0.0,0.0,37,5.217,,,0.005984,0.0,0.0,,0.099,0.121,0.032,0.054,0.4865,0.4237,0.087,0.0787,0.00898,0.00951,0.0304,0.0305,bj2018,143.4,102.1,spect,8.04894,0.001171,7.0677,0.001656,1,sirful,tycho2b3,,1.49757994082,1.12101396264,18.59399843061,-7.9097349653,0.04589969525,0.03642128792,1,0,514643191
474,0.305294,7483,HIP 5881,5881,0.671,5.01,0.202,-4.8,22.0,,9.43,Svalues,18.8802,37.7434,74,186400103,18.88030045262,37.74337030234,37.743,18.88,0,5881,2800-00642-1,639-004427,01153127+3744364,,J011531.24+374435.7,321863582147946880,,,STAR,tmgaia2,tmgaia2,-22.92,0.595,-32.502,0.587,gaia2,19.2766,0.323,gaia2,9.539,0.033,8.87,0.03,,,,,,,,,,,7.609,0.019,7.301,0.018,7.231,0.023,AAA-111-111-000-0-0,7.133,0.042,7.233,0.02,7.208,0.018,6.968,0.076,8.69683,0.000433,8.251,0.006,gbprp,spect,5632.1,110.1,4.5687,0.0736,,,0.86,0.042,1.0,0.123,1.5701,0.3187,DWARF,0.67106,0.02873,51.8258,0.8746,0.0,0.0,93,0.0046,,,0.006354,0.0,0.0,,0.097,0.149,0.044,0.039,0.2508,0.3866,0.0887,0.0584,0.02505,0.03241,0.8601,0.8891,bj2018,113.6,106.6,spect,9.06472,0.002096,8.21321,0.003794,1,hipvmag,tycho2b3,,9.746579129,9.09565295646,18.88017565441,37.74323036237,0.27928587979,0.27706839178,1,0,17170919
475,0.046266,7661,HIP 5938,5938,0.753,5.43,0.412,-4.42,9.0,,8.67,Svalues,19.1008,-12.097,75,439410069,19.10081305548,-12.0970014848,19.101,-12.097,90,5938,5275-01029-1,390-001441,01162417-1205493,,J011624.29-120549.2,2468730472844294144,5069414,,STAR,tmgaia2,tmgaia2,133.823,0.078,-4.849,0.063,gaia2,39.1027,0.0419,gaia2,8.309,0.045,7.55,0.03,,,,,,,,,,,6.208,0.019,5.828,0.04,5.739,0.021,AAA-111-111-000-0-0,5.789,0.124,5.651,0.048,5.769,0.015,5.689,0.039,7.35066,0.000399,6.86,0.006,gbprp,spect,5432.0,144.7,4.5508,0.0924,0.01,0.1,0.856,0.053,0.95,0.129,1.5146,0.3962,DWARF,0.57475,0.01371,25.5548,0.0276,0.0,0.0,35,0.0009,,,0.008742,0.0,0.0,,0.109,0.149,0.058,0.048,0.3058,0.4866,0.0968,0.088,0.01506,0.01236,0.0276,0.0276,bj2018,127.9,161.4,spect,7.76641,0.001812,6.82252,0.003404,1,hipvmag,apassdr9,,1.21484044436,0.97186121022,19.101402323,-12.09702236125,0.03118393552,0.02889727916,1,0,514971262
476,0.07197,7590,HIP 5944,5944,0.594,4.72,0.278,-4.53,7.0,,9.0,Svalues,19.1219,42.9394,76,196841006,19.12188657802,42.93941741036,42.939,19.121,0,5944,2808-02069-1,665-005440,01162926+4256219,,J011629.14+425621.5,373349657227961472,52057678,,STAR,tmgaia2,tmgaia2,-112.32,0.066,-31.472,0.066,gaia2,41.3391,0.0359,gaia2,7.174,0.023,6.597,0.023,,,,,,,,,,,5.515,0.018,5.258,0.029,5.177,0.016,EAA-111-111-000-0-0,5.143,0.198,5.013,0.061,5.191,0.016,5.094,0.029,6.45026,0.000657,6.043,0.006,gbprp,spect,5962.9,140.1,4.4778,0.0806,-0.041,0.0214,0.997,0.05,1.09,0.136,1.0989,0.2472,DWARF,1.13283,0.03341,24.1732,0.0212,0.0,0.0,132,0.001,,,0.008096,0.0,0.0,,0.129,0.143,0.042,0.058,0.1805,0.3139,0.065,0.0962,0.03438,0.03244,0.0211,0.0212,bj2018,139.6,140.5,spect,6.77991,0.004556,6.00561,0.005698,1,sirful,tycho2b3,,1.10583021608,1.02656622002,19.12122598943,42.93928190738,0.03037265022,0.02994254379,1,0,18059900
477,0.208378,7727,HIP 5985,5985,0.563,4.16,0.162,-4.94,14.0,,9.65,Svalues,19.2459,-2.2792,77,248387672,19.24585944405,-2.27915866928,19.247,-2.28,90,5985,4682-02121-1,439-001569,01165898-0216446,,,2531792756096759296,731732,,STAR,tmgaia2,tmgaia2,258.487,0.12,-140.36,0.053,gaia2,34.5473,0.0559,gaia2,7.082,0.071,6.516,0.005,,,,,,,,,,,5.53,0.02,5.254,0.033,5.177,0.021,AAA-111-111-000-0-0,,,,,,,,,6.38205,0.000487,6.002,0.006,gbprp,spect,6105.3,141.4,4.3611,0.0869,0.0822,0.0089,1.172,0.06,1.15,0.155,0.7147,0.1714,DWARF,1.71881,0.05452,28.9217,0.047,0.0,0.0,29,0.0001,,,0.00589,0.0,0.0,,0.144,0.167,0.044,0.077,0.1399,0.2029,0.1002,0.0737,0.05272,0.05631,0.047,0.0471,bj2018,144.1,138.8,spect,6.68663,0.00184,5.96631,0.003837,1,mermil,mermil,,1.86647050958,0.82903369792,19.24697325531,-2.27976299749,0.05358323182,0.0285588252,1,0,514941743
478,0.20144,7895,HIP 6130,6130,0.78,5.79,0.256,-4.71,26.0,,9.29,Svalues,19.6712,-0.8676,78,248391508,19.67124472789,-0.86756637118,19.673,-0.869,90,6130,4682-01278-1,446-001679,01184107-0052030,,,2533723670313664000,15822,,STAR,tmgaia2,tmgaia2,432.466,0.1,-253.254,0.076,gaia2,36.2671,0.0566,gaia2,8.813,0.112,7.99,0.022,,,,,,,,,,,6.537,0.017,6.155,0.031,6.039,0.023,AAA-111-111-000-0-0,,,,,,,,,7.78687,0.000282,7.271,0.006,gbprp,gaia2,5269.0,122.0,4.5744,0.0797,,,0.811,0.045,0.9,0.108,1.6879,0.3873,DWARF,0.4566,0.0105,27.5513,0.0432,0.0,0.0,33,0.1483,,,0.008319,0.0,0.0,,0.123,0.092,0.038,0.053,0.3932,0.3813,0.0832,0.0761,0.01226,0.00873,0.0432,0.0433,bj2018,140.1,103.9,dered0,8.22146,0.003401,7.2249,0.003164,1,mermil,mermil,,1.5509791488,1.17525107518,19.67310694777,-0.86865677081,0.04768157274,0.03703179937,1,0,514945520
479,0.024061,8038,HIP 6197,6197,0.701,4.79,0.26,-4.64,18.0,,9.19,Svalues,19.8711,-24.9512,79,11568630,19.87110074285,-24.95120664963,19.871,-24.952,90,6197,6425-02240-1,326-001379,01192906-2457042,,J011929.04-245705.5,5040068191130125312,10126720,,STAR,tmgaia2,tmgaia2,-22.29,0.084,-121.955,0.072,gaia2,20.4229,0.0422,gaia2,9.05,0.0,8.41,0.03,,,,,,,,,,,7.181,0.035,6.879,0.027,6.799,0.018,AAA-111-111-000-0-0,6.753,0.071,6.781,0.021,6.806,0.016,6.72,0.098,8.23053,0.000275,7.781,0.006,gbprp,spect,5667.0,104.5,4.449,0.0698,0.14,0.1,0.992,0.043,1.01,0.122,1.0332,0.1984,DWARF,0.91522,0.02235,48.8956,0.1018,0.0,0.0,31,0.0015,,,0.006093,0.0,0.0,,0.102,0.142,0.042,0.043,0.1575,0.2393,0.0564,0.0833,0.02384,0.02086,0.1015,0.102,bj2018,103.0,106.0,spect,8.59905,0.000931,7.73937,0.001192,1,hipvmag,apassdr9,,1.33834776372,1.11882600784,19.87099489227,-24.9517317337,0.03384321352,0.03128397422,1,0,514895511
480,0.177571,,HIP 6276,6276,0.791,5.71,0.529,-4.32,6.0,,8.01,Svalues,20.1344,-11.4677,80,10802452,20.13445027481,-11.46770230859,20.135,-11.468,90,6276,5276-00413-1,393-001499,01203226-1128035,,J012032.34-112805.2,2470272812780609536,5071140,,STAR,tmgaia2,tmgaia2,111.438,0.091,-136.885,0.067,gaia2,28.3029,0.0482,gaia2,9.199,0.025,8.43,0.03,,,,,,,,,,,7.026,0.02,6.654,0.042,6.549,0.021,AAA-111-111-000-0-0,6.537,0.077,6.525,0.023,6.545,0.016,6.375,0.062,8.22538,0.000519,7.722,0.006,gbprp,spect,5314.0,101.1,4.5617,0.0744,-0.04,0.1,0.832,0.037,0.92,0.115,1.5981,0.3214,DWARF,0.49717,0.00987,35.2961,0.0605,0.0,0.0,24,0.0025,,,0.007577,0.0,0.0,,0.102,0.129,0.036,0.039,0.2594,0.3833,0.0641,0.0848,0.00988,0.00986,0.0604,0.0606,bj2018,111.3,90.9,spect,8.64899,0.001455,7.67971,0.001969,1,hipvmag,apassdr9,,1.41671708339,1.03986514873,20.13493985076,-11.46829167498,0.03429445031,0.03366851764,1,0,515162290
481,0.76474,,HIP 6339,6339,0.916,6.17,0.487,,,,,Svalues,20.3677,31.3414,81,620748460,20.36745470622,31.34136486175,31.341,20.37,0,,,,,,,310361075612875392,,,STAR,gaia2,gaia2,568.334,0.168,-122.326,0.213,gaia2,33.4089,0.1197,gaia2,,,8.443,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,8.20567,0.000498,7.638,0.006,gbprp,gaia2,5000.0,128.8,,,,,,,,,,,,,,29.9069,0.1079,0.0,0.0,61,0.0556,DUPLICATE,61128703,0.007841,0.0,0.0,,,,,,,,,,,,0.1075,0.1083,bj2018,131.2,126.5,dered0,8.70027,0.001743,7.59226,0.002302,1,gaia2,,,2.70411403101,3.30639986151,20.37031975808,31.34083821218,0.1011420065,0.08537259931,1,0,19230269
483,0.042886,7924,HIP 6379,6379,0.826,6.04,0.222,-4.83,35.0,,9.48,Svalues,20.4963,76.7103,82,468723402,20.49630508806,76.71028814488,76.71,20.496,0,6379,4494-01346-1,834-002119,01215911+7642372,,J012158.95+764236.6,560130775546153344,60550782,,STAR,tmgaia2,tmgaia2,-34.643,0.041,-32.66,0.038,gaia2,58.8216,0.0249,gaia2,7.907,0.006,7.179,0.023,,,,,,,,,,,5.618,0.026,5.231,0.033,5.159,0.02,AAA-111-111-000-0-0,5.171,0.181,5.025,0.099,5.195,0.018,5.106,0.028,6.92516,0.000196,6.393,0.006,gbprp,spect,5136.0,143.3,4.5812,0.0931,-0.14,0.1,0.791,0.055,0.87,0.107,1.7573,0.4779,DWARF,0.39232,0.01128,16.9922,0.0072,0.0,0.0,186,0.0014,,,0.014559,0.0,0.0,,0.098,0.115,0.06,0.049,0.3944,0.5614,0.0815,0.1047,0.01064,0.01192,0.0072,0.0072,bj2018,127.6,158.9,spect,7.3868,0.001876,6.35541,0.002901,1,sirful,apassdr9,,0.82030423474,0.5864570147,20.49565622136,76.7101475254,0.02209418019,0.02037264995,1,0,19195000
484,0.07741,8326,HIP 6390,6390,0.97,6.29,0.367,,,,,Svalues,20.5317,-26.8931,83,11613065,20.53172410357,-26.89309949478,20.531,-26.894,90,6390,6427-02441-1,316-001403,01220762-2653348,,J012207.56-265337.5,5036553052456200192,12613271,,STAR,tmgaia2,tmgaia2,-58.47,0.12,-224.887,0.064,gaia2,32.5591,0.0466,gaia2,9.67,0.048,8.76,0.03,,,,,,,,,,,7.052,0.026,6.587,0.044,6.504,0.02,AAA-111-111-000-0-0,6.438,0.082,6.417,0.024,6.47,0.016,6.399,0.061,8.47487,0.000365,7.881,0.006,gbprp,spect,4904.6,141.8,4.5499,0.0989,0.0399,0.0227,0.786,0.058,0.8,0.095,1.6453,0.4661,DWARF,0.32236,0.01121,30.6862,0.0441,0.0,0.0,28,0.0039,,,0.008436,0.0,0.0,,0.073,0.116,0.04,0.076,0.457,0.4753,0.1233,0.0746,0.00722,0.0152,0.0441,0.0442,bj2018,139.8,143.7,spect,9.00219,0.001244,7.83509,0.001488,1,hipvmag,apassdr9,,1.91709576194,0.99741335318,20.53144183047,-26.89406775854,0.04270475707,0.02991460759,1,0,515172746
485,0.044074,8262,HIP 6405,6405,0.627,4.92,0.17,-4.93,21.0,,9.63,Svalues,20.5745,18.6827,84,411629521,20.57448989522,18.6827076324,20.577,18.683,90,6405,1200-00235-1,544-002545,01221778+1840576,,,2786115533677290496,42812590,,STAR,tmgaia2,tmgaia2,557.988,0.077,-2.367,0.073,gaia2,38.3758,0.0407,gaia2,7.591,0.071,6.966,0.009,,,,,,,,,,,5.804,0.018,5.484,0.02,5.392,0.016,AAA-111-111-000-0-0,,,,,,,,,6.79597,0.000324,6.372,0.006,gbprp,spect,5745.0,99.9,4.4571,0.0679,-0.16,0.03,0.993,0.04,1.03,0.13,1.0523,0.1903,DWARF,0.96748,0.02343,26.0385,0.0278,0.0,0.0,47,0.0004,,,0.007277,0.0,0.0,,0.12,0.141,0.031,0.048,0.1537,0.2269,0.0518,0.084,0.01954,0.02732,0.0278,0.0278,bj2018,111.1,88.7,spect,7.14366,0.002195,6.3371,0.003065,1,mermil,mermil,,1.20476705908,1.12854724054,20.57702597735,18.68269745879,0.03547540291,0.0307310518,1,0,19110829
486,0.354415,8331,HIP 6442,6442,0.681,3.86,0.141,-5.14,33.0,,9.96,Svalues,20.6811,10.3695,85,365062665,20.68101310535,10.36954884729,20.681,10.369,90,6442,0617-00415-1,502-001999,01224344+1022104,,J012243.38+102209.3,2579398139245536768,40469882,,STAR,tmgaia2,tmgaia2,-92.639,0.221,-90.223,0.186,gaia2,17.747,0.0979,gaia2,8.061,0.025,7.47,0.03,,,,,,,,,,,6.233,0.019,5.91,0.049,5.851,0.026,AAA-111-111-000-0-0,5.869,0.117,5.729,0.044,5.846,0.014,5.815,0.041,7.29456,0.0003,6.849,0.006,gbprp,spect,5689.6,107.6,3.9605,0.0728,-0.01,0.03,1.742,0.074,1.01,0.129,0.1912,0.0376,DWARF,2.86388,0.07675,56.2587,0.3122,0.0,0.0,25,0.0072,,,0.0,0.0,0.0,,0.101,0.156,0.061,0.088,0.0438,0.0314,0.0811,0.0644,0.06578,0.08773,0.3105,0.3139,bj2018,130.1,85.1,spect,7.66641,0.003886,6.8162,0.004002,1,hipvmag,apassdr9,,3.44217406875,2.8767990212,20.68060762074,10.36916038827,0.07826580322,0.07371230013,1,0,19030268
487,0.115857,8389,HIP 6456,6456,0.9,5.45,0.184,-5.0,46.0,,9.74,Svalues,20.761,-12.9661,86,32550429,20.76099496818,-12.96606819324,20.763,-12.966,90,6456,5276-01431-1,386-001541,01230259-1257577,,,2456361448068367360,5072257,,STAR,tmgaia2,tmgaia2,461.818,0.081,-25.612,0.062,gaia2,33.2105,0.0473,gaia2,8.747,0.005,7.847,0.005,,,,,,,,,,,6.395,0.021,6.024,0.033,5.918,0.017,AAA-111-111-000-0-0,,,,,,,,,7.6163,0.000243,7.084,0.006,gbprp,spect,5224.0,105.0,4.4072,0.0726,0.42,0.1,0.978,0.048,0.89,0.104,0.9528,0.1959,DWARF,0.64117,0.01372,30.0848,0.0431,0.0,0.0,32,0.3153,,,0.006617,0.0,0.0,,0.086,0.121,0.035,0.062,0.1874,0.2044,0.0905,0.0548,0.01426,0.01318,0.043,0.0432,bj2018,141.1,68.8,spect,8.07689,0.001706,7.04647,0.002808,1,mermil,mermil,,1.25768865406,0.95413252541,20.76303537528,-12.96617847551,0.03610261199,0.03044103955,1,0,515182306
488,0.137162,8328,HIP 6498,6498,0.691,3.8,0.131,-5.23,37.0,,10.07,Svalues,20.8689,46.8906,87,238653265,20.8689226871,46.89063480335,46.89,20.87,0,6498,3269-00111-1,685-008119,01232852+4653265,,J012328.64+465325.8,398265174829845504,,,STAR,tmgaia2,tmgaia2,104.231,0.095,-44.926,0.108,gaia2,12.139,0.0874,gaia2,8.969,0.027,8.28,0.03,,,,,,,,,,,7.055,0.02,6.817,0.023,6.763,0.02,AAA-111-111-000-0-0,6.669,0.067,6.688,0.023,6.737,0.016,6.738,0.073,8.11641,0.000436,7.679,0.006,gbprp,spect,5835.8,112.0,4.0249,0.0728,0.36,0.03,1.649,0.071,1.05,0.129,0.2342,0.0469,DWARF,2.84108,0.08607,82.1909,0.595,0.0,0.0,166,0.0028,,,0.002983,0.0,0.0,,0.091,0.167,0.057,0.085,0.0413,0.0525,0.0582,0.0873,0.07682,0.09531,0.5908,0.5993,bj2018,112.0,112.1,spect,8.47719,0.001039,7.64215,0.002276,1,hipvmag,tycho2b3,,1.60675153392,1.68061596832,20.8695793697,46.89044137469,0.07395344236,0.05392857046,1,0,18936090
489,0.171326,8467,HIP 6575,6575,1.1,5.71,0.279,,,,,Svalues,21.1167,39.0621,88,186530059,21.11666319626,39.06206194448,39.062,21.118,0,6575,2813-01426-1,646-005295,01242798+3903435,,J012428.18+390343.1,323570058554178688,50189916,,STAR,tmgaia2,tmgaia2,210.29,0.096,-29.804,0.141,gaia2,30.2354,0.0741,gaia2,9.16,0.029,8.39,0.03,,,,,,,,,,,7.009,0.021,6.608,0.026,6.562,0.02,AAA-111-111-000-0-0,6.442,0.035,6.448,0.021,6.502,0.014,6.416,0.046,8.17348,0.000605,7.67,0.006,gbprp,spect,5273.0,98.9,4.5729,0.0728,-0.16,0.1,0.812,0.037,0.9,0.109,1.6792,0.3411,DWARF,0.45957,0.00957,33.0425,0.0815,0.0,0.0,96,0.0166,,,0.008272,0.0,0.0,,0.077,0.142,0.032,0.041,0.379,0.3032,0.0791,0.0665,0.00871,0.01043,0.0812,0.0817,bj2018,109.9,87.8,spect,8.59907,0.001622,7.62958,0.002596,1,hipvmag,tycho2b3,,1.58744800372,2.18597639855,21.11782927154,39.06193362622,0.04680848558,0.05863001714,1,0,19787271
490,0.160952,8553,HIP 6613,6613,0.912,5.89,0.172,,,,,Svalues,21.2248,18.4999,89,456861826,21.22476693219,18.49993186706,21.227,18.499,90,6613,1200-00098-1,543-002592,01245392+1829599,,,2786053067672564736,42814238,,STAR,tmgaia2,tmgaia2,547.235,0.089,-190.258,0.084,gaia2,31.7568,0.0501,gaia2,9.361,0.153,8.492,0.02,,,,,,,,,,,6.907,0.044,6.461,0.055,6.399,0.024,AAA-111-111-000-0-0,,,,,,,,,8.24706,0.000354,7.697,0.006,gbprp,spect,5053.0,108.3,4.5245,0.0792,-0.01,0.1,0.83,0.045,0.84,0.097,1.4708,0.3351,DWARF,0.40431,0.00969,31.4607,0.05,0.0,0.0,41,0.0016,,,0.007413,0.0,0.0,,0.078,0.115,0.05,0.039,0.3077,0.3625,0.0675,0.0908,0.00892,0.01045,0.0499,0.0501,bj2018,99.8,116.7,spect,8.72319,0.001446,7.65415,0.001532,1,mermil,mermil,,1.3914168084,1.30740035278,21.227251474,18.49911271687,0.04299862476,0.03728639801,1,0,20063833
491,0.16457,8574,HIP 6643,6643,0.577,3.9,0.144,-5.07,18.0,,9.86,Svalues,21.3022,28.5667,90,18121498,21.30214827946,28.56669486032,28.566,21.303,0,6643,1754-00192-1,593-003564,01251246+2834005,,,297045096447719040,47953134,,STAR,tmgaia2,tmgaia2,251.399,0.08,-157.461,0.074,gaia2,22.2795,0.0463,gaia2,8.12,0.239,7.12,0.03,,,,,,,,,,,6.048,0.021,5.824,0.018,5.784,0.023,AAA-111-111-000-0-0,,,,,,,,,6.98345,0.000365,6.598,0.006,gbprp,spect,6031.0,143.2,4.187,0.0853,0.03,0.1,1.413,0.072,1.12,0.149,0.3971,0.0947,DWARF,2.37951,0.07457,44.8264,0.0938,0.0,0.0,47,0.0015,,,0.004262,0.0,0.0,,0.106,0.193,0.057,0.087,0.093,0.0964,0.0908,0.0799,0.07453,0.07462,0.0936,0.094,bj2018,162.6,123.7,spect,7.29574,0.002202,6.56407,0.0024,1,hipvmag,apassdr9,,1.28558142796,1.14005890017,21.30338072888,28.5660169088,0.04463033695,0.03303600424,1,0,19719126
492,0.171846,8648,HIP 6653,6653,0.675,4.4,0.153,-5.05,30.0,,9.82,Svalues,21.3338,1.4609,91,399732990,21.33377785191,1.46085771031,21.334,1.461,90,6653,0021-01171-1,458-001889,01252011+0127390,,J012520.16+012738.2,2559181861327325184,36111995,,STAR,tmgaia2,tmgaia2,68.174,0.104,-61.608,0.081,gaia2,25.0373,0.0839,gaia2,8.075,0.071,7.38,0.03,,,,,,,,,,,6.197,0.023,5.888,0.023,5.769,0.021,AAA-111-111-000-0-0,5.739,0.131,5.64,0.047,5.771,0.015,5.713,0.04,7.22903,0.000296,6.795,0.006,gbprp,spect,5790.0,137.8,4.2787,0.0832,0.176,0.0259,1.225,0.068,1.04,0.131,0.5655,0.1339,DWARF,1.51993,0.04277,39.895,0.1346,0.0,0.0,23,0.0207,,,0.004975,0.0,0.0,,0.133,0.129,0.057,0.078,0.1155,0.1524,0.0717,0.0947,0.05571,0.02984,0.1341,0.1351,bj2018,113.9,161.7,spect,7.58189,0.002871,6.755,0.003921,1,hipvmag,apassdr9,,1.60665413018,1.26145968946,21.33407147214,1.46059245237,0.07009425365,0.03904595603,1,0,20000495
494,0.030999,8673,HIP 6702,6702,0.5,3.43,0.2,-4.71,6.0,,9.29,Svalues,21.5366,34.5797,92,80535228,21.53660994164,34.57970267297,34.579,21.538,0,6702,2300-01642-1,623-004191,01260875+3434471,,,317350357498173312,,,STAR,tmgaia2,tmgaia2,236.277,0.086,-84.481,0.071,gaia2,26.3829,0.0375,gaia2,6.798,0.1,6.331,0.008,,,,,,,,,,,5.44,0.027,5.224,0.016,5.169,0.02,AAA-111-111-000-0-0,,,,,,,,,6.2242,0.000654,5.898,0.006,gbprp,spect,6389.0,138.2,4.1918,0.0889,0.1474,0.0257,1.502,0.07,1.28,0.204,0.3776,0.0896,DWARF,3.38786,0.1288,37.8619,0.0542,0.0,0.0,60,0.0004,,,0.004264,0.0,0.0,,0.154,0.253,0.079,0.061,0.0879,0.0913,0.0874,0.0904,0.10928,0.14833,0.0541,0.0543,bj2018,119.5,157.0,spect,6.48676,0.002183,5.86899,0.005462,1,mermil,mermil,,1.39166029563,1.10597460279,21.53784552703,34.57933893984,0.03629832271,0.03092533899,1,0,19781784
495,0.34988,8765,HIP 6712,6712,0.707,3.76,0.185,-4.89,29.0,,9.57,Svalues,21.58,-4.6741,93,630147124,21.57990492728,-4.67407839295,21.58,-4.675,90,,,,,,,2482274463233174016,,,STAR,gaia2,gaia2,-93.78,0.755,-105.724,0.531,gaia2,20.4721,0.4206,gaia2,,,8.124,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,7.96909,0.000353,7.514,0.006,gbprp,gaia2,,,,,,,,,,,,,,,,48.8161,1.0105,0.0,0.0,,,DUPLICATE,248955931,,0.0,0.0,,,,,,,,,,,,0.9899,1.0311,bj2018,,,,8.34442,0.001916,7.47499,0.002238,0,gaia2,,,11.72105332159,8.23060264007,21.57949980542,-4.67453359362,0.35665994986,0.29562025213,1,0,515526124
497,0.160941,8941,HIP 6869,6869,0.526,3.1,0.195,-4.75,8.0,,9.34,Svalues,22.1015,17.0793,94,405341081,22.10152289752,17.07926101884,22.102,17.079,90,6869,1198-01155-1,536-002652,01282436+1704451,,J012824.45+170445.0,2593154747696080896,42816517,,STAR,tmgaia2,tmgaia2,112.682,0.113,-33.453,0.116,gaia2,19.3887,0.0649,gaia2,7.111,0.023,6.604,0.023,,,,,,,,,,,5.661,0.021,5.403,0.034,5.378,0.017,AAA-111-111-000-0-0,5.369,0.176,5.22,0.045,5.405,0.015,5.312,0.032,6.47323,0.000499,6.121,0.006,gbprp,spect,6238.5,99.3,3.9571,0.0744,0.19,0.03,1.914,0.07,1.21,0.166,0.1727,0.034,DWARF,4.99723,0.1683,51.5004,0.1734,0.0,0.0,41,0.0002,,,0.002779,0.0,0.0,,0.116,0.216,0.067,0.072,0.0277,0.0403,0.0659,0.083,0.15302,0.18359,0.1728,0.174,bj2018,106.0,92.6,spect,6.75356,0.003041,6.08593,0.003851,1,sirful,tycho2b3,,1.77120292407,1.79555864162,22.10203043902,17.07911698529,0.04958822708,0.05086638614,1,0,20921158
