hpic_name,StarName,Smedian,log(Rhk),Age(Gyr)
TIC 375001160,HD 196201,0.1704,-4.947,4.62
TIC 188401533,HD 196761,0.1720,-4.937,4.45
TIC 64804337,HD 196850,0.1612,-4.975,5.11
TIC 330872058,HD 197076,0.1783,-4.871,3.49
TIC 23959521,HD 198802,0.1570,-5.013,5.85
TIC 365670764,HD 199305,1.5695,-4.525,0.99
TIC 364182010,HD 199476,0.1753,-4.905,3.95
TIC 388996956,HD 202575,0.8031,-4.356,0.20
TIC 376363393,HD 202751,0.2079,-4.978,5.17
TIC 242020806,HD 204587,0.6943,-4.833,3.03
TIC 388931495,HD 207874,0.1695,-5.010,5.78
TIC 258038021,HD 208038,0.5083,-4.439,0.58
TIC 399897311,HD 208313,0.2615,-4.774,2.44
TIC 241257122,HD 208801,0.1375,-5.213,11.20
TIC 292987389,HD 209290,1.7120,-4.474,0.75
TIC 420814525,HD 209458,0.1603,-4.959,4.83
TIC 50227884,HD 210277,0.1525,-5.064,7.00
TIC 437701837,HD 211038,0.1345,-5.185,10.30
TIC 415868365,HD 212291,0.1974,-4.814,2.82
TIC 270582021,HD 213042,0.3713,-4.783,2.53
TIC 200215494,HD 213519,0.1531,-5.033,6.29
TIC 253928127,HD 213628,0.1620,-4.998,5.55
TIC 422438669,HD 214683,0.4944,-4.475,0.76
TIC 47295522,HD 214749,1.1840,-4.412,0.45
TIC 251042502,HD 215152,0.2485,-4.849,3.21
TIC 60781630,HD 216259,0.1797,-4.932,4.37
TIC 264899051,HD 216520,0.1921,-4.908,4.00
TIC 217331269,HD 216899,1.4635,-4.607,1.36
TIC 38271828,HD 217107,0.1487,-5.087,7.55
TIC 257428010,HD 217165,0.1619,-4.956,4.77
TIC 419012256,HD 217357,1.5700,-4.612,1.39
TIC 248052037,HD 217877,0.1525,-5.018,5.96
TIC 155315739,HD 217987,1.2215,-4.695,1.85
TIC 354242880,HD 218168,0.2940,-4.489,0.82
TIC 422556732,HD 218209,0.1879,-4.821,2.90
TIC 278952345,HD 218566,0.2349,-4.910,4.03
TIC 455819325,HD 218868,0.2001,-4.842,3.13
TIC 283722336,HD 219134,0.2465,-4.904,3.95
TIC 431698314,HD 219538,0.2361,-4.809,2.77
TIC 91103571,HD 219953,0.1729,-4.954,4.73
TIC 173924720,HD 220221,0.5660,-4.545,1.08
TIC 49644110,HD 220339,0.2312,-4.810,2.78
TIC 444314028,HD 221354,0.1564,-5.055,6.78
TIC 250080475,HD 221356,0.1556,-4.983,5.26
TIC 366036174,HD 221851,0.2954,-4.662,1.65
TIC 9005067,HD 222582,0.1688,-4.937,4.44
TIC 419939011,HD 222697,0.4538,-4.365,0.24
TIC 293367726,HD 223238,0.1529,-5.035,6.31
TIC 422724148,HD 223498,0.1517,-5.066,7.04
TIC 114806039,HD 224619,0.1638,-4.988,5.36
TIC 403021108,HD 224983,0.2008,-4.900,3.88
TIC 120461526,HD 225213,0.3489,-5.269,13.09
TIC 258866681,HD 225261,0.1727,-4.936,4.43
TIC 274545692,HD 232979,1.6230,-4.601,1.34
TIC 68581262,HD 265866,0.6103,-5.130,8.69
TIC 349389472,HD 281540,0.2063,-4.912,4.06
TIC 397354290,HD 285968,1.5030,-4.646,1.56
