hpic_name,tess_id,period_var(d),period_var_uncert(d),amp_var(ppm),amp_var_uncert(d),RMS(ppm)
TIC 273945912,273945912,3.316974,0.182870,38.100805,1.784467,193.615108
TIC 389121767,389121767,1.412033,0.034005,254.000029,1.678106,333.977237
TIC 89115385,89115385,4.319280,0.254339,208.910245,1.883293,355.478065
TIC 80224448,80224448,3.700008,0.255366,69.338301,1.816431,241.527564
TIC 21704463,21704463,10.076033,2.807092,76.136170,1.717524,208.194066
TIC 343953616,343953616,8.211764,1.459316,69.191067,1.908074,247.946047
TIC 415970660,415970660,4.005944,0.309060,243.228144,1.814422,353.128194
TIC 164886225,164886225,9.621433,1.397901,116.391442,1.716702,294.027722
TIC 234522993,234522993,8.956546,1.192318,51.320475,1.793781,205.959345
TIC 129276723,129276723,5.018458,0.398859,187.711010,1.985882,300.962071
TIC 198384408,198384408,9.179843,1.308824,545.328859,1.751723,464.338806
TIC 238171697,238171697,1.065692,0.017116,135.737988,1.777934,274.183005
TIC 250975235,250975235,4.027873,0.224418,48.392085,2.278517,297.134063
TIC 139770629,139770629,5.730140,0.621317,1931.599725,1.939869,1793.445021
TIC 166417326,166417326,1.651172,0.044679,258.026174,1.686034,366.503479
TIC 367828264,367828264,2.456314,0.105133,42.520703,1.798630,186.968157
TIC 114786312,114786312,11.878120,1.994156,348.697986,1.879385,451.806950
TIC 315311759,315311759,7.690540,0.756884,105.805389,2.285809,282.346313
TIC 231700251,231700251,9.576996,1.242843,78.965331,1.924500,242.196169
TIC 348901198,348901198,2.950532,0.113339,58.148030,1.917367,318.913081
TIC 453258688,453258688,2.457520,0.074225,210.151931,1.628955,301.394942
TIC 165962902,165962902,1.693119,0.046793,164.653284,1.778254,301.694063
TIC 146077130,146077130,1.640640,0.039646,192.407340,1.707781,360.323073
TIC 333606239,333606239,8.455705,1.776837,151.850936,1.996815,275.419933
TIC 286377115,286377115,5.786915,0.434192,57.301958,2.242485,227.384602
TIC 371148289,371148289,10.585344,1.745703,158.705710,1.728928,265.752696
TIC 248901239,248901239,1.801438,0.043427,138.900042,2.034753,328.045573
TIC 17294823,17294823,1.064125,0.017389,355.692005,1.823898,402.453535
TIC 441501782,441501782,2.899593,0.090347,84.813114,1.882734,271.837955
TIC 385721987,385721987,4.959408,0.323255,409.421033,1.977959,404.419192
TIC 467753728,467753728,4.797566,0.522821,51.163159,1.968575,346.596545
TIC 175193677,175193677,8.502173,2.152227,1064.889952,1.831328,1060.939711
TIC 17292477,17292477,1.520860,0.038002,182.473944,1.795083,320.312172
TIC 306735869,306735869,11.261484,1.904439,2693.714597,1.867382,2124.694351
TIC 157921708,157921708,3.379128,0.157232,31.507706,1.940514,220.043986
TIC 207468713,207468713,2.187246,0.047247,81.072977,2.905916,289.664238
TIC 329296696,329296696,3.192159,0.207062,188.674137,3.030192,688.781145
TIC 247250544,247250544,11.486649,2.981864,135.835069,1.708687,269.243823
TIC 345217789,345217789,9.208195,1.190703,320.279598,1.780220,669.774497
TIC 407029356,407029356,1.944282,0.085180,73.740429,2.103529,295.988505
TIC 381003375,381003375,0.886043,0.012630,479.346457,1.870760,559.389875
TIC 468723402,468723402,6.317493,0.508127,308.748486,1.927256,538.450249
TIC 358071115,358071115,5.318885,0.414825,92.144813,1.857728,280.011200
TIC 365294034,365294034,8.056102,0.942122,516.026498,2.020473,517.378067
TIC 379603165,379603165,11.201277,1.720677,723.565676,1.783274,775.243394
TIC 138295548,138295548,2.517770,0.099996,51.715305,1.945452,247.898918
TIC 351233996,351233996,1.128013,0.019651,597.515185,1.948500,546.890131
TIC 220476607,220476607,4.300709,0.214717,63.008798,1.812015,241.049607
TIC 165186583,165186583,1.783474,0.055166,135.143402,1.776597,240.305615
TIC 408261976,408261976,4.168511,0.245196,1330.406892,1.945587,1164.528144
TIC 124279525,124279525,6.754981,0.750793,81.234435,1.739312,217.775564
TIC 155230105,155230105,2.951828,0.114977,71.697771,1.865202,283.232092
TIC 185013064,185013064,7.088126,0.660788,76.180200,2.003515,217.656761
TIC 71434397,71434397,4.501650,0.298262,338.282084,2.119185,479.305282
TIC 165764315,165764315,2.449460,0.092723,52.180481,1.957546,229.422547
TIC 419012256,419012256,5.555805,0.426518,202.597318,1.793090,343.415488
TIC 222012610,222012610,2.604950,0.139952,34.274650,1.977792,212.937718
TIC 238069953,238069953,2.351267,0.091917,34.041553,2.041632,230.059482
TIC 119340944,119340944,1.924042,0.046351,132.909962,1.994992,285.558258
TIC 255530921,255530921,5.549884,0.566093,236.346203,1.739990,378.029212
TIC 72601126,72601126,6.738415,0.578363,42.211532,2.147288,246.942116
TIC 87869692,87869692,9.279125,1.296544,4070.982607,1.943150,3320.942746
TIC 445872278,445872278,1.700883,0.034490,46.341087,2.282677,249.868139
TIC 258678247,258678247,1.593728,0.062342,412.610194,2.136380,449.074586
TIC 327724364,327724364,3.430938,0.154602,41.934797,1.919712,216.690914
TIC 279069526,279069526,11.639408,1.960186,226.217468,1.849980,324.348434
TIC 407966340,407966340,5.931213,0.622382,54.130075,1.983360,245.839451
TIC 10057347,10057347,4.153372,0.246080,2038.179125,1.846432,1667.690649
TIC 147932300,147932300,1.204789,0.020656,161.296128,2.204169,324.738815
TIC 285930023,285930023,3.288327,0.201159,122.221218,2.010987,244.821840
TIC 316781121,316781121,9.042923,1.192461,129.152914,2.002119,253.955287
TIC 80512849,80512849,1.926134,0.052165,233.701140,2.139691,419.068583
TIC 435911720,435911720,10.081669,1.685495,1244.883190,1.776302,1215.957902
TIC 32636439,32636439,5.734097,0.536941,458.285707,1.896143,509.470109
TIC 369395755,369395755,7.944820,0.821213,257.983495,1.911046,337.697304
TIC 262300150,262300150,7.686569,0.827844,148.975834,1.903425,283.820405
TIC 87142854,87142854,8.217112,1.113378,2754.164555,1.979484,2436.504583
TIC 365063993,365063993,6.414440,0.761627,6276.804856,2.120165,6295.728637
TIC 38381642,38381642,1.492809,0.039927,1936.806095,2.071564,1508.080184
TIC 287152045,287152045,8.096147,1.083135,48.624275,1.973965,259.497139
TIC 458319418,458319418,5.826340,0.701872,90.966138,1.784610,309.320159
TIC 245794718,245794718,1.021904,0.017092,231.687925,1.904184,335.564524
TIC 453409619,453409619,2.107992,0.071354,284.810456,1.891592,375.077194
TIC 3816118,3816118,10.635323,2.100386,8616.467242,2.332370,6277.033923
TIC 64408446,64408446,4.523866,0.324931,1105.367055,1.866925,1061.747808
TIC 434130008,434130008,9.072925,1.440493,328.384104,1.999813,381.465726
TIC 418189606,418189606,9.834961,1.238411,60.231715,1.932025,211.138040
TIC 471012031,471012031,4.808506,0.398142,50.605436,1.867253,227.416563
TIC 61105191,61105191,4.781947,0.370576,1244.464581,2.170256,1032.999347
