,star_name,gaiadr3,HD,logRhk
207,TIC 71739520,5387328735240580224,HD96423,-5.04
208,TIC 289513804,3600638179941831936,HD104263,-5.04
209,TIC 66666079,3693358861640279296,HD107148,-5.04
210,TIC 144511638,6153706477443518976,HD110619,-4.85
211,TIC 288529330,3529518709839090176,HD111031,-5.07
212,TIC 418383992,5783508853769085312,HD115674,-4.90
213,TIC 330551022,6092573252981419776,HD124364,-4.82
214,TIC 41123769,4176501313320676992,HD161098,-4.89
215,TIC 161522366,6871005636949836928,HD189625,-4.81
216,TIC 99734092,6828450688663428224,HD204313,-5.03
217,TIC 469934028,6501182220888038784,HD220507,-5.06
218,TIC 9005067,2440578577126302336,HD222582,-4.99
219,TIC 469936356,6498197630933903872,HD222595,-4.81
220,TIC 280793604,6485226795340143488,HD224393,-4.84
221,TIC 143350972,2971536418673198976,HD36152,-4.95
222,TIC 91928222,3346787986201584896,HD39881,-5.01
223,TIC 262587669,581100382135253760,HD75302,-4.66
224,TIC 321287183,607044664662446720,HD78660,-4.94
225,TIC 72510218,6190970236474307200,HD120690,-4.73
226,TIC 345291554,1237374997031931392,HD129814,-4.89
227,TIC 351354256,1212385193677160832,HD135101,-5.08
228,TIC 393055414,1166216253750406144,HD138573,-4.99
229,TIC 330872058,1814241194252808704,HD197076,-4.88
230,TIC 293367726,2743198605549406464,HD223238,-5.00
231,TIC 7244844,4942867480584948352,HD13724,-4.77
232,TIC 423752904,5149607655522233728,HD12264,-4.61
233,TIC 139112038,6577318075351824512,HD202628,-4.66
234,TIC 339406181,5843623140212451840,HD115585,-5.13
235,TIC 275786473,5982775854377691136,HD330075,-5.00
236,TIC 334034005,6129861029477931136,HD105690,-4.27
237,TIC 455179026,3089675232224086784,HIP40774,-4.43
238,TIC 157324520,3480332916165099904,HD102438,-4.95
239,TIC 234501204,4708607629114652032,HD4308,-4.94
240,TIC 333606239,2525514785221197696,HD4915,-4.79
241,TIC 101145648,2919760965880144384,HD47186,-5.06
242,TIC 291635915,5493588665684618752,HD59468,-5.01
243,TIC 332204965,5726261784439754624,HD66221,-5.07
244,TIC 183356952,5540006949934104448,HD70642,-5.02
245,TIC 169248301,3802549437248150656,HD92788,-5.03
246,TIC 267519701,5341673851394297600,HD102117,-5.10
247,TIC 464013520,5974066343551468544,HD157830,-4.79
248,TIC 254147274,6718894388002453120,HD177565,-4.92
249,TIC 24294415,6832155218215202944,HD202206,-4.75
250,TIC 36726370,2610488514148352000,HD216777,-4.91
251,TIC 9967949,5168359139139252352,HD21019,-5.07
252,TIC 51739133,3681795018676501120,HD110537,-5.03
253,TIC 262457542,5798962867668048768,HD134606,-5.09
254,TIC 144046368,6517095109079262336,HD212708,-5.08
255,TIC 234306483,4694695852085869568,HD14747,-4.94
256,TIC 43400838,2343647384368388608,HD4208,-4.95
257,TIC 39543054,3022685626580347392,HD40397,-5.01
258,TIC 452501166,5217826648313336576,HD81639,-4.96
259,TIC 422478973,3507879565090229888,HD115617,-4.99
260,TIC 186579346,5891531404470141824,HD128674,-4.91
261,TIC 101622280,6666015128609223552,HD190954,-4.96
262,TIC 262818224,6493004500076966144,HD219249,-4.90
263,TIC 179348425,6009538585839374336,HD140901,-4.72
264,TIC 419015728,2452378776434477184,HD10700,-4.95
265,TIC 370137704,4642472794978268800,HD20003,-4.98
266,TIC 301051051,4847957293278177024,HD20794,-4.97
267,TIC 46686960,2972016080621222528,HD37986,-5.08
268,TIC 117768715,2893174259322992256,HD45364,-4.97
269,TIC 307624961,5726982995343100928,HD69830,-4.99
270,TIC 45045365,5433212283180626432,HD85119,-4.46
271,TIC 167839774,3550148743432500992,HD94151,-4.97
272,TIC 20416870,3532823773073745536,HD97343,-5.02
273,TIC 38086286,3786697056556771584,HD98281,-4.92
274,TIC 329649885,5855730584310531200,HD111232,-4.95
275,TIC 38638674,3643688458214366080,HD123265,-5.10
276,TIC 147718994,3646061719703116032,HD124292,-5.00
277,TIC 334644751,5906633952564270848,HD132648,-4.85
278,TIC 292206680,6213644846302305536,HD136894,-5.00
279,TIC 409829440,5935065983239912320,HD145598,-4.90
280,TIC 76723012,4122133830616441728,HD157172,-4.98
281,TIC 113403971,4041857799496807936,HD161612,-5.03
282,TIC 211217450,6735442725215002112,HD172513,-4.78
283,TIC 188401533,6854626246593473792,HD196761,-4.90
284,TIC 50227884,2619706544757416192,HD210277,-5.08
285,TIC 253928127,6597043794989308928,HD213628,-4.97
286,TIC 403223176,6506893771477045888,HD213941,-4.89
287,TIC 326451898,6621026789291266304,HD214385,-4.90
288,TIC 114806039,2341817487782612480,HD224619,-4.97
289,TIC 302452347,31251045334952960,HD19518,-4.88
290,TIC 326927305,4381250547575102208,HD152391,-4.44
291,TIC 206614902,6603827644293770624,HD215641,-4.48
292,TIC 53178075,3789271459953459328,HD96064,-4.33
293,TIC 309284002,6208649077782080000,HD138549,-4.85
294,TIC 409891396,6427464123776727168,HD190248,-5.11
295,TIC 117948083,5701922342208943232,HD72769,-5.09
296,TIC 33949151,2328303768321982080,HD223282,-4.76
297,TIC 51443167,5755064487956174720,HD73350,-4.54
298,TIC 97470730,5023104341621773184,HD10002,-5.09
299,TIC 65325217,5069294481507177344,HD16297,-4.72
300,TIC 144503312,5060105897197110144,HD20781,-5.03
301,TIC 220412945,4777373903814124032,HD30278,-5.00
302,TIC 370101728,4653311093421344384,HD30306,-5.07
