,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
103,HD 130260,1,1,1,40,b'2005-02-08T09:17:38.102',b'2005-02-08T09:17:38.102',10.012,1.084,21.592,b'K3',4853,4.399,4.462,2.0391,2.0391,0.0099,0.0,-4.1043,-4.1043,0.0021,7.864,7.864,0.039,0.0,222.04027,-36.78394,6201900168033571840
104,HD 130322,40,17,5179,96,b'2004-02-11T08:33:20.311',b'2018-04-17T06:28:35.140',8.038,0.78,31.342,b'G9',5365,7.43,3.066,0.2416,0.2434,0.001,0.0148,-4.7708,-4.7659,0.0027,1.695,1.714,0.01,0.152,221.88636,-0.28147,3650718804281799168
105,HD 130930,21,20,2881,95,b'2004-07-19T23:59:12.091',b'2012-06-09T02:22:40.793',8.698,0.912,30.11,b'K2',5027,6.295,4.736,0.1844,0.1865,0.0011,0.0152,-5.0153,-5.009,0.0036,0.965,0.98,0.008,0.105,223.0739,-43.81819,6100277947576329216
106,HD 130992,38,36,3712,123,b'2005-05-02T06:22:37.959',b'2015-07-01T03:12:45.088',7.878,1.06,59.668,b'K3',4898,3.635,3.992,0.348,0.3476,0.0013,0.0202,-4.852,-4.8524,0.0017,1.406,1.405,0.006,0.085,222.9186,-24.30413,6229442835525860352
107,HD 131565,5,2,2859,70,b'2004-02-25T09:24:55.376',b'2012-06-10T02:53:04.204',8.62,0.647,21.308,b'G6',5612,4.925,1.818,0.2132,0.2141,0.0014,0.0024,-4.7615,-4.7583,0.005,1.732,1.744,0.02,0.035,224.53962,-68.59076,5800160441999825920
#108,HD 131976,348,10,1859,42,b'2008-04-13T07:30:55.731',b'2013-05-16T09:14:14.521',8.037,1.528,168.77,b'  ',0,0.0,0.0,1.5222,1.4934,0.0047,0.1508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.36056,-21.41155,
109,HD 131977,62,26,3002,148,b'2004-02-04T08:49:12.779',b'2012-04-24T08:08:35.843',5.743,1.032,170.011,b'K4',4635,4.844,4.538,0.4879,0.4864,0.0015,0.0261,-4.6607,-4.6621,0.0014,2.184,2.177,0.007,0.122,224.36667,-21.41548,6232511606838404096
110,HD 132307,6,5,7,103,b'2005-05-11T03:56:23.475',b'2005-05-19T02:49:27.423',8.129,0.773,28.86,b'G9',5407,4.04,3.156,0.1976,0.1975,0.0009,0.0022,-4.9017,-4.902,0.0031,1.254,1.253,0.009,0.023,224.54532,6.90496,1160956465000504320
111,HD 132411,5,1,1,50,b'2005-06-23T02:57:07.920',b'2010-03-13T08:32:38.304',10.102,1.081,24.853,b'K4',4574,5.967,5.209,0.5171,0.5171,0.0036,0.0,-4.703,-4.703,0.0031,1.982,1.982,0.014,0.0,224.90935,-19.64059,6232978005927127040
112,HD 132569,47,27,2255,45,b'2004-05-21T05:59:53.427',b'2011-08-31T23:08:08.099',9.827,0.885,20.712,b'K2',4967,6.352,4.765,0.3547,0.3522,0.003,0.0288,-4.6408,-4.6443,0.0043,2.287,2.268,0.022,0.218,225.08317,-16.54121,6306757022857029632
113,HD 132648,26,23,3002,142,b'2004-02-20T08:53:53.439',b'2012-05-10T07:12:09.572',7.739,0.721,38.038,b'G8',5418,12.262,2.885,0.1976,0.2039,0.0008,0.0124,-4.8732,-4.8493,0.0033,1.339,1.415,0.01,0.149,225.47194,-47.00747,5906633952564271104
114,HD 134060,339,160,4822,189,b'2004-02-25T09:18:48.841',b'2017-05-09T06:45:35.758',6.291,0.623,41.616,b'G0',5966,2.407,0.512,0.1594,0.1593,0.0006,0.0019,-4.9978,-4.9983,0.0038,1.005,1.004,0.009,0.029,227.68643,-61.42232,5876112300125320192
115,HD 134088,128,85,4033,93,b'2004-05-26T04:51:53.591',b'2015-06-11T05:28:02.663',7.809,0.53,25.482,b'G4',5675,0.014,0.0,0.1746,0.1749,0.0008,0.0023,-4.8108,-4.8092,0.0041,1.546,1.552,0.015,0.041,227.05236,-7.9132,6320657976568116224
116,HD 134353,5,3,3,87,b'2005-05-11T03:35:07.817',b'2005-05-19T03:26:23.734',8.267,0.847,29.4,b'G9',5311,2.918,2.779,0.2841,0.287,0.0016,0.0063,-4.7244,-4.7188,0.003,1.886,1.911,0.013,0.054,227.21655,19.03863,1212738995903148288
117,HD 134440,51,32,3060,54,b'2004-05-26T05:05:23.329',b'2013-09-08T23:36:31.265',9.441,0.85,33.796,b'K2',4982,4.964,4.486,0.1926,0.1982,0.0017,0.0149,-4.9561,-4.9378,0.0055,1.106,1.154,0.014,0.125,227.55403,-16.46292,6307365499463905280
118,HD 134606,290,214,4593,167,b'2004-07-20T00:16:37.506',b'2017-05-10T05:08:11.351',6.859,0.74,37.297,b'G5',5633,6.104,1.397,0.1519,0.1517,0.0007,0.0015,-5.1063,-5.1077,0.0042,0.783,0.78,0.008,0.017,228.81268,-70.51962,5798962867668048896
119,HD 134664,33,28,1066,145,b'2005-07-28T23:34:30.418',b'2008-06-29T00:25:22.233',7.653,0.624,24.485,b'G1',5865,2.907,0.966,0.1894,0.1866,0.0007,0.006,-4.8363,-4.8492,0.0033,1.458,1.415,0.011,0.091,228.04314,-30.88629,6210926819198796800
120,HD 134702,13,9,3358,53,b'2005-05-16T04:50:28.955',b'2018-04-07T05:40:23.287',8.33,0.641,20.083,b'G2',5782,4.17,1.374,0.2033,0.2043,0.0018,0.0088,-4.7935,-4.7896,0.0072,1.609,1.623,0.027,0.128,228.12641,-35.91894,6200121677915638784
121,HD 134929,10,4,2555,50,b'2004-05-21T05:18:48.081',b'2018-04-07T05:43:38.118',8.684,0.831,23.225,b'G9',5330,7.051,3.525,0.1674,0.1681,0.0017,0.0164,-5.0427,-5.0397,0.0071,0.906,0.913,0.015,0.146,228.49565,-41.45834,6004256909931770880
122,HD 134985,23,20,2867,68,b'2004-02-27T08:50:04.732',b'2012-06-14T04:02:15.857',9.281,0.772,22.76,b'K2',5096,0.027,0.002,0.173,0.1724,0.0013,0.0039,-5.0015,-5.0041,0.0058,0.996,0.991,0.013,0.041,228.19844,-1.1661,4418257149730694144
123,HD 136713,72,70,4152,115,b'2005-05-02T06:47:18.854',b'2016-09-12T23:12:31.013',7.973,0.971,45.206,b'K2',4994,4.303,4.36,0.3331,0.3242,0.0014,0.0262,-4.7617,-4.7748,0.002,1.731,1.68,0.008,0.15,230.6529,-10.66113,6316161317608434688
124,HD 136894,39,34,2044,178,b'2004-07-18T02:00:49.163',b'2010-02-21T08:36:14.097',7.53,0.725,37.149,b'G9',5412,11.712,2.676,0.1676,0.1677,0.0006,0.0009,-5.0114,-5.0108,0.0034,0.974,0.976,0.008,0.011,231.01012,-27.30522,6213644846302305280
125,HD 137010,8,2,39,48,b'2006-04-09T08:05:44.096',b'2010-04-21T06:37:50.191',10.041,1.018,22.298,b'K3',4797,4.892,4.676,0.3153,0.3154,0.0027,0.0062,-4.8424,-4.8422,0.004,1.437,1.438,0.013,0.03,231.08855,-19.73935,6254679341809369088
126,HD 137303,16,16,2044,84,b'2004-07-18T02:17:04.364',b'2010-02-21T08:53:05.295',8.814,1.043,45.128,b'K3',4756,3.931,4.247,0.4306,0.4233,0.0021,0.0343,-4.7318,-4.7395,0.0022,1.855,1.822,0.009,0.154,231.49376,-26.70578,6213789290343029760
127,HD 137388,95,87,4037,72,b'2005-07-26T00:46:39.694',b'2016-08-14T02:10:55.424',8.691,0.884,24.672,b'K0',5240,5.0,4.355,0.2254,0.2204,0.0016,0.0206,-4.8822,-4.8949,0.004,1.312,1.274,0.012,0.157,233.91634,-80.20459,5778418870846853120
128,HD 138549,23,22,2942,131,b'2004-05-26T04:04:05.392',b'2012-06-15T03:12:01.812',7.951,0.714,27.646,b'G6',5582,5.006,1.485,0.2018,0.2016,0.0009,0.014,-4.8529,-4.8535,0.0032,1.403,1.401,0.01,0.171,233.47316,-31.01905,6208649077782079488
129,HD 138763,48,3,39,220,b'2004-05-31T04:30:57.572',b'2011-07-22T00:52:52.303',6.266,0.486,39.229,b'F8',6099,1.63,1.061,0.3643,0.3628,0.0006,0.0103,-4.2644,-4.2668,0.0009,5.44,5.41,0.012,0.201,233.5867,-5.69509,4400452830957831168
130,HD 138914,8,1,1,40,b'2004-02-14T08:52:06.714',b'2009-06-03T06:26:48.084',9.473,0.886,22.435,b'K2',4968,7.657,4.884,0.422,0.422,0.004,0.0,-4.5542,-4.5542,0.0048,2.791,2.791,0.031,0.0,235.07952,-71.56796,5794951810577912832
131,HD 139189,24,14,2982,41,b'2005-05-16T06:24:40.109',b'2016-04-21T08:30:50.800',9.469,0.918,20.971,b'K2',4983,8.763,4.842,0.3942,0.3917,0.0036,0.0268,-4.6215,-4.6246,0.0044,2.391,2.374,0.024,0.183,234.97469,-61.18335,5827566456543001600
132,HD 139211,1520,26,1920,198,b'2006-03-12T06:28:20.033',b'2011-06-14T01:43:40.851',5.946,0.504,32.688,b'F6',6417,1.621,0.83,0.1529,0.1531,0.0005,0.0014,-4.9043,-4.9031,0.0035,1.247,1.25,0.01,0.026,234.9856,-59.90834,5833702727880303616
133,HD 139332,16,1,1,50,b'2005-05-16T06:16:00.347',b'2017-05-10T05:25:41.279',9.734,0.974,21.306,b'K3',4899,5.41,4.624,0.2396,0.2396,0.0026,0.0,-4.9255,-4.9255,0.0054,1.187,1.187,0.015,0.0,234.78211,-42.63731,6001693570382012416
134,HD 139461,4,2,556,197,b'2006-09-12T00:11:03.853',b'2008-03-21T06:02:11.232',6.448,0.504,28.297,b'F7',6274,3.091,0.628,0.1682,0.1687,0.0006,0.0048,-4.8146,-4.8117,0.003,1.532,1.543,0.011,0.091,234.66692,-8.79145,6317407201723596800
135,HD 140901,52,27,1293,169,b'2004-02-15T09:25:33.964',b'2007-08-30T23:53:34.719',6.016,0.717,65.533,b'G6',5610,2.82,1.399,0.2438,0.2468,0.0008,0.012,-4.7201,-4.7117,0.0021,1.905,1.942,0.009,0.145,236.87125,-37.91631,6009538585839374336
136,HD 141937,7,5,1824,167,b'2005-05-26T05:30:46.661',b'2010-05-24T04:26:58.017',7.254,0.629,29.945,b'G1',5893,0.799,0.674,0.1836,0.185,0.0006,0.0031,-4.8683,-4.8617,0.003,1.354,1.375,0.009,0.046,238.07312,-18.43605,6248534171318084608
137,HD 142022,8,8,2095,77,b'2004-08-15T00:00:25.882',b'2010-05-11T05:16:18.654',7.677,0.782,29.142,b'G8',5508,7.97,2.106,0.1526,0.1532,0.0011,0.0023,-5.1073,-5.1039,0.006,0.781,0.787,0.011,0.024,242.56261,-84.23161,5768159705804908544
138,HD 142072,9,9,525,78,b'2005-04-02T05:51:35.196',b'2006-09-09T01:44:24.863',7.869,0.677,24.586,b'G1',5899,0.11,0.002,0.3481,0.3445,0.0015,0.0143,-4.463,-4.4691,0.0026,3.444,3.395,0.021,0.191,238.14062,-1.90633,4403292246725472256
139,HD 142709,52,48,4298,98,b'2004-07-20T01:03:35.911',b'2016-04-26T06:59:37.004',8.066,1.12,67.88,b'K4',4728,4.085,4.273,0.356,0.3489,0.0019,0.0365,-4.927,-4.936,0.0023,1.183,1.159,0.006,0.124,239.41977,-42.62423,5994771148252505088
140,HD 143114,22,19,2542,167,b'2005-06-30T03:34:40.205',b'2012-06-15T04:46:40.554',7.336,0.605,27.548,b'G2',5775,0.026,0.044,0.1683,0.1682,0.0006,0.0007,-4.9259,-4.9264,0.0037,1.186,1.185,0.01,0.012,239.90945,-29.63256,6040291273229121536
141,HD 143295,2,2,272,64,b'2004-07-31T01:46:03.805',b'2005-04-29T07:01:28.968',9.036,0.934,28.547,b'K2',4987,4.832,4.644,0.5487,0.5636,0.0032,0.0264,-4.4811,-4.4685,0.0027,3.303,3.4,0.021,0.172,239.92622,-5.07624,4398623381051080192
142,HD 143436,16,14,434,130,b'2005-05-11T04:54:40.293',b'2006-07-20T01:09:40.114',8.036,0.638,22.316,b'G2',5803,1.419,1.05,0.1801,0.1803,0.0008,0.0015,-4.8926,-4.8917,0.0039,1.281,1.283,0.011,0.022,240.07849,0.13701,4409935087954140672
143,HD 144342,2,1,1,37,b'2005-05-18T05:07:50.170',b'2011-04-13T07:46:13.132',8.967,0.794,20.265,b'G9',5403,2.61,2.252,0.3578,0.3578,0.0035,0.0,-4.5519,-4.5519,0.0053,2.806,2.806,0.034,0.0,242.10887,-58.42953,5834852267294819328
144,HD 144411,24,19,2480,54,b'2005-08-24T01:26:46.135',b'2012-06-09T05:38:12.869',9.694,0.981,25.52,b'K3',4852,5.118,4.576,0.3186,0.3179,0.0024,0.0122,-4.7945,-4.7955,0.0036,1.605,1.601,0.013,0.068,241.54728,-10.9907,4343477444082907136
145,HD 144497,3,3,30,69,b'2005-07-28T02:10:30.565',b'2005-08-27T00:11:54.031',9.165,0.952,27.908,b'K2',5022,3.559,3.876,0.4534,0.4576,0.0022,0.0069,-4.5925,-4.5882,0.0023,2.556,2.581,0.014,0.042,241.74909,-22.97723,6242432637698225152
146,HD 144585,173,24,2906,183,b'2004-05-27T06:21:55.685',b'2012-05-11T08:07:07.934',6.315,0.658,36.312,b'G0',5914,3.09,0.824,0.1492,0.1504,0.0006,0.0032,-5.096,-5.087,0.0044,0.802,0.818,0.008,0.044,241.76404,-14.0713,4341501106288171008
147,HD 144628,438,260,4767,141,b'2004-07-16T02:09:52.377',b'2017-08-03T23:53:03.714',7.119,0.859,67.41,b'K2',5022,0.034,0.001,0.2042,0.2037,0.0008,0.0091,-4.9241,-4.9259,0.0025,1.191,1.186,0.007,0.074,242.42831,-56.44515,5835498883232034816
148,HD 145417,83,55,3743,94,b'2004-05-26T07:15:21.770',b'2014-08-27T01:34:19.135',7.543,0.819,73.427,b'K2',4953,7.128,7.315,0.2017,0.206,0.001,0.01,-4.9109,-4.8971,0.0032,1.228,1.267,0.009,0.092,243.45233,-57.57051,5835113573101868032
149,HD 145598,41,38,2107,100,b'2004-07-16T02:18:11.480',b'2010-04-23T07:02:21.494',8.642,0.658,23.215,b'G8',5417,0.019,0.001,0.1792,0.1793,0.0009,0.0029,-4.9128,-4.9127,0.0044,1.222,1.223,0.013,0.04,243.54138,-50.78488,5935065983239912448
150,HD 145666,28,24,1410,130,b'2004-07-20T01:20:13.554',b'2008-05-30T07:23:38.695',7.791,0.6,23.837,b'G0',5958,0.796,0.572,0.2047,0.2049,0.0009,0.0038,-4.7504,-4.7497,0.0035,1.777,1.78,0.014,0.061,243.76733,-56.37454,5931529953919720448
151,HD 145809,34,20,2906,170,b'2004-05-27T06:35:03.823',b'2012-05-11T08:24:51.193',6.68,0.617,25.97,b'G2',5778,9.12,0.024,0.1545,0.1545,0.0006,0.0009,-5.0796,-5.0795,0.0048,0.833,0.833,0.009,0.013,243.4181,-21.39996,6243032008973308928
152,HD 147195,10,3,1467,41,b'2006-04-10T08:10:30.970',b'2016-05-06T07:02:28.993',8.718,0.712,20.041,b'G7',5557,5.932,2.021,0.1931,0.186,0.0016,0.014,-4.8862,-4.9163,0.0064,1.3,1.213,0.019,0.172,245.2843,-19.94503,6245090981933686784
153,HD 147512,30,28,1734,173,b'2005-07-24T01:31:48.409',b'2010-04-23T07:38:25.059',7.351,0.722,37.152,b'G7',5530,9.689,1.738,0.1686,0.1686,0.0006,0.0009,-5.0049,-5.0045,0.0034,0.989,0.99,0.008,0.011,245.63634,-4.24925,4356054757585316864
154,HD 148303,73,52,2926,72,b'2004-07-15T02:07:53.272',b'2013-05-04T08:01:15.993',8.695,0.978,35.614,b'K3',4829,5.963,4.983,0.424,0.4261,0.002,0.0381,-4.6554,-4.6532,0.0022,2.211,2.222,0.011,0.214,247.08865,-31.13083,6025604409224636416
155,HD 148816,29,26,2246,148,b'2004-05-26T06:28:34.931',b'2010-09-25T00:25:15.560',7.254,0.539,23.381,b'G0',5908,12.906,5.019,0.1634,0.1633,0.0007,0.0011,-4.8835,-4.8836,0.0041,1.308,1.307,0.012,0.02,247.61858,4.17822,4433711099194059776
156,HD 149933,16,15,435,137,b'2005-05-11T05:12:37.790',b'2006-07-20T01:43:32.988',8.05,0.763,24.94,b'G7',5517,5.452,2.493,0.1832,0.1793,0.0008,0.0088,-4.9534,-4.97,0.0035,1.113,1.071,0.009,0.094,249.44104,0.04017,4383355047189886464
157,HD 150177,64,42,3259,175,b'2004-05-29T05:21:48.175',b'2013-07-04T01:14:29.227',6.335,0.494,23.122,b'F7',6216,5.863,0.134,0.153,0.1529,0.0006,0.0012,-4.8912,-4.8915,0.0041,1.285,1.284,0.012,0.023,249.91304,-9.55459,4338289879498164736
158,HD 150433,122,112,4367,172,b'2005-08-24T02:01:59.411',b'2017-08-08T01:45:35.425',7.198,0.627,32.826,b'G5',5665,0.019,0.0,0.1681,0.1674,0.0007,0.0019,-4.9474,-4.9512,0.0038,1.129,1.119,0.01,0.029,250.28423,-2.85728,4354950641755248640
159,HD 150474,37,11,2917,75,b'2005-04-27T08:41:09.932',b'2018-04-08T05:25:08.112',7.151,0.777,20.747,b'G8',5425,7.884,0.135,0.1412,0.142,0.001,0.0046,-5.1804,-5.1747,0.0071,0.66,0.669,0.011,0.048,250.69437,-37.34252,6019275689036870656
160,HD 150633,16,15,435,124,b'2005-05-11T05:30:15.246',b'2006-07-20T01:26:32.825',7.942,0.687,20.231,b'G1',5840,3.567,3.04,0.1567,0.1571,0.0008,0.003,-5.0587,-5.0566,0.0049,0.873,0.878,0.01,0.04,250.45927,13.14884,4461045267503021568
161,HD 151504,21,20,2261,127,b'2006-04-06T08:12:12.648',b'2012-06-14T03:23:49.980',8.083,0.773,26.047,b'G8',5457,10.217,2.437,0.162,0.1619,0.0008,0.0015,-5.055,-5.0553,0.0041,0.881,0.88,0.008,0.016,252.13432,-19.28777,4130605425932372992
162,HD 151692,9,3,1424,41,b'2006-05-27T04:54:47.032',b'2016-05-08T08:37:43.755',9.586,1.102,30.093,b'K3',4737,4.66,4.51,0.5585,0.522,0.0048,0.0492,-4.7011,-4.731,0.0038,1.99,1.858,0.017,0.178,252.47149,-24.44694,6046895455473782784
163,HD 152391,113,36,1675,124,b'2004-02-11T08:57:43.639',b'2008-09-12T00:33:58.876',6.676,0.758,59.538,b'G8',5465,0.76,0.85,0.4115,0.4104,0.001,0.0176,-4.4428,-4.4442,0.0014,3.607,3.596,0.011,0.192,253.24501,-0.02642,4381250547575102464
164,HD 152533,17,6,1938,45,b'2005-07-28T02:36:11.147',b'2013-08-02T02:45:49.309',9.657,1.026,24.789,b'K4',4717,6.246,5.083,0.2996,0.3046,0.0029,0.034,-4.8765,-4.8688,0.0046,1.329,1.353,0.014,0.162,253.62774,-14.58325,4140294975233688064
165,HD 153851,11,9,397,91,b'2005-07-27T02:00:26.666',b'2006-08-28T00:05:39.242',8.984,0.892,29.258,b'K2',5052,4.968,4.284,0.5296,0.5279,0.0021,0.0213,-4.4494,-4.4509,0.0019,3.553,3.541,0.015,0.158,255.59509,-11.89345,4333230201866391040
166,HD 153950,64,45,4357,58,b'2005-05-16T06:54:28.697',b'2018-03-11T09:47:27.321',7.383,0.562,20.609,b'F9',6074,4.651,0.867,0.154,0.1539,0.0012,0.0049,-4.9711,-4.9721,0.0082,1.069,1.066,0.02,0.083,256.12863,-43.30977,5965406010180880384
167,HD 154088,280,186,4143,190,b'2006-04-04T09:15:40.311',b'2017-08-08T02:58:09.488',6.659,0.839,54.708,b'G9',5374,4.154,3.175,0.1611,0.1612,0.0007,0.0056,-5.0723,-5.0718,0.0029,0.847,0.848,0.006,0.048,256.11601,-28.58268,6029992663310612480
168,HD 154160,10,7,9,101,b'2005-05-11T05:47:56.901',b'2005-05-20T07:34:19.729',6.517,0.769,27.476,b'G5',5656,5.141,1.443,0.1418,0.141,0.0008,0.0027,-5.1802,-5.1856,0.0055,0.66,0.652,0.008,0.029,255.79352,14.51134,4545449415043729408
169,HD 154387,16,4,2624,39,b'2005-05-16T06:57:35.226',b'2013-04-30T08:57:21.414',9.418,1.11,36.515,b'K4',4570,5.043,4.722,0.5504,0.5376,0.0052,0.0213,-4.7196,-4.7299,0.0042,1.907,1.862,0.018,0.075,256.88081,-48.24832,5938742337829520384
170,HD 154577,840,435,4826,123,b'2004-05-20T06:05:49.833',b'2017-08-06T03:26:45.140',7.394,0.894,72.732,b'K3',4847,0.034,0.002,0.2353,0.2334,0.0009,0.0125,-4.8656,-4.8699,0.0022,1.363,1.349,0.007,0.092,257.54313,-60.72877,5914096303621755904
171,HD 154962,40,22,2544,200,b'2006-04-04T09:33:10.088',b'2013-03-22T08:59:13.165',6.357,0.7,27.985,b'G1',5827,4.138,1.024,0.1406,0.1405,0.0006,0.0009,-5.1817,-5.1823,0.0048,0.658,0.657,0.007,0.012,257.22717,-3.883,4365099851340249600
172,HD 155712,16,14,435,126,b'2005-05-11T06:09:32.680',b'2006-07-20T02:01:10.431',7.934,0.935,47.974,b'K3',4933,5.238,4.721,0.1928,0.1927,0.001,0.0092,-5.0056,-5.0059,0.0028,0.987,0.986,0.006,0.06,258.15676,18.35119,4548462729742343168
173,HD 155717,4,4,2130,38,b'2006-05-27T05:02:38.488',b'2012-03-26T09:50:02.912',9.915,0.943,20.199,b'K3',4873,6.438,5.05,0.5845,0.5751,0.0047,0.0246,-4.4632,-4.4708,0.0037,3.442,3.383,0.03,0.155,258.3405,-0.38154,4368455633841540096
174,HD 156098,59,55,4723,113,b'2005-05-03T08:52:07.612',b'2018-04-08T08:47:14.691',5.514,0.508,20.699,b'F5',6517,1.594,0.047,0.1754,0.1755,0.0009,0.0022,-4.782,-4.7816,0.0045,1.652,1.653,0.017,0.042,259.26519,-32.66284,5979460655025099776
175,HD 157172,128,122,3602,121,b'2005-07-27T02:18:54.166',b'2017-03-07T09:09:09.271',7.846,0.785,30.273,b'G8',5451,0.0,0.0,0.1715,0.1733,0.0008,0.0089,-5.0123,-5.004,0.0037,0.972,0.991,0.008,0.091,260.64402,-19.61618,4122133830616441856
176,HD 157338,30,23,2857,192,b'2005-05-25T06:12:52.799',b'2013-03-21T07:36:09.751',6.913,0.585,30.184,b'F9',6027,4.715,1.199,0.1634,0.1629,0.0006,0.0013,-4.9356,-4.9385,0.0036,1.16,1.152,0.009,0.022,261.03642,-34.79845,5975810379449715712
177,HD 157347,204,85,3998,151,b'2006-03-17T09:50:15.468',b'2017-02-25T09:45:58.014',6.252,0.67,50.859,b'G4',5676,8.241,1.644,0.1613,0.1611,0.0006,0.0017,-5.0204,-5.0213,0.0038,0.954,0.952,0.008,0.024,260.7137,-2.38818,4367026303085395968
178,HD 157750,5,4,127,74,b'2005-04-06T07:57:46.357',b'2005-08-11T02:19:58.344',8.014,0.664,21.938,b'F7',6252,0.0,0.0,0.2406,0.2393,0.0016,0.0048,-4.6873,-4.6911,0.0047,2.055,2.037,0.022,0.067,261.64524,-32.96968,5976271757721063424
179,HD 157830,68,63,3024,133,b'2004-05-26T07:35:25.292',b'2012-09-05T03:10:56.941',7.877,0.684,32.146,b'G7',5540,7.931,1.874,0.2139,0.2142,0.0008,0.0097,-4.7881,-4.7868,0.003,1.629,1.634,0.011,0.128,261.84147,-38.06145,5974066343551468544
180,HD 160013,8,6,9,50,b'2005-05-11T06:27:14.856',b'2005-05-20T07:55:38.165',8.5,0.764,22.72,b'G9',5372,4.86,4.655,0.2532,0.2554,0.0019,0.0034,-4.7295,-4.7242,0.0047,1.864,1.887,0.02,0.036,264.2321,19.92235,4555422981940923904
181,HD 160346,98,31,1675,132,b'2004-02-11T09:08:44.618',b'2008-09-12T00:52:07.889',6.542,0.963,99.139,b'K3',4843,4.782,4.709,0.3109,0.3141,0.001,0.0315,-4.7863,-4.7813,0.0016,1.636,1.655,0.006,0.186,264.82048,3.55524,4377160604838377472
182,HD 160836,26,11,1461,37,b'2006-08-28T01:09:25.317',b'2011-06-02T06:32:28.052',9.748,1.053,27.176,b'K4',4628,5.652,4.987,0.8558,0.8377,0.0069,0.0347,-4.4389,-4.4484,0.0036,3.64,3.562,0.03,0.151,265.60509,-9.07603,4165205652413099008
183,HD 161098,155,148,4172,138,b'2006-04-04T09:49:23.136',b'2017-09-06T01:40:43.661',7.717,0.693,33.545,b'G7',5560,10.033,2.175,0.1808,0.1818,0.0008,0.0052,-4.9288,-4.924,0.0037,1.178,1.191,0.01,0.067,265.93438,-3.91787,4176501313320676864
184,HD 161612,63,49,4069,165,b'2004-05-28T06:56:16.765',b'2015-07-19T03:12:16.603',7.198,0.747,37.242,b'G6',5616,2.023,1.461,0.1611,0.1605,0.0007,0.002,-5.0539,-5.057,0.0037,0.883,0.877,0.007,0.022,266.98979,-34.01888,4041857799496807936
185,HD 162020,1,1,1,65,b'2005-05-22T06:23:00.237',b'2005-05-22T06:23:00.237',9.097,0.963,32.413,b'K4',4723,6.185,5.014,0.8963,0.8963,0.0039,0.0,-4.2929,-4.2929,0.002,5.094,5.094,0.023,0.0,267.65981,-40.31836,5957920668132624384
186,HD 162236,17,17,1074,91,b'2004-05-29T06:04:49.482',b'2007-05-08T08:00:14.737',8.909,0.729,22.387,b'G9',5343,7.132,2.984,0.2544,0.2568,0.0012,0.0123,-4.7009,-4.6947,0.003,1.991,2.02,0.014,0.145,267.78055,-27.39637,4063687056632311296
187,HD 162396,92,31,1536,189,b'2004-05-21T05:48:39.580',b'2008-08-04T01:11:57.981',6.187,0.522,31.272,b'F9',6090,7.282,1.566,0.1556,0.1554,0.0006,0.0013,-4.9109,-4.912,0.0037,1.228,1.225,0.011,0.024,268.2191,-41.99652,5956907713041688576
188,HD 162598,7,4,1153,39,b'2006-05-09T06:56:26.936',b'2013-08-13T01:25:06.401',9.849,1.119,32.66,b'K4',4634,4.537,4.614,0.5233,0.5117,0.005,0.0327,-4.7542,-4.7641,0.0042,1.761,1.721,0.017,0.112,268.06919,-7.56041,4171749945627705344
189,HD 163436,14,2,3607,64,b'2006-04-06T09:58:19.318',b'2016-04-11T07:42:22.424',9.633,0.916,20.495,b'K2',5030,5.003,4.71,0.1945,0.1979,0.0016,0.0117,-4.9876,-4.9779,0.0047,1.029,1.052,0.011,0.081,269.74091,-51.62532,5945469184292487168
190,HD 165920,45,35,3660,115,b'2005-05-26T08:01:42.471',b'2015-06-03T05:25:01.225',7.937,0.852,30.738,b'G9',5339,5.108,3.971,0.1557,0.1551,0.0008,0.0026,-5.0993,-5.1019,0.0037,0.796,0.791,0.007,0.022,272.32366,-22.90844,4066590798160123904
191,HD 166724,55,51,2677,68,b'2004-05-28T07:19:09.589',b'2011-09-26T01:12:02.704',9.325,0.859,22.127,b'K2',5099,7.211,4.442,0.2893,0.2887,0.0018,0.0168,-4.7241,-4.7253,0.0033,1.888,1.882,0.014,0.138,273.49865,-42.57538,6724520279784564736
192,HD 167359,3,3,346,113,b'2005-07-23T02:06:47.877',b'2006-07-04T04:48:02.386',8.549,0.765,26.498,b'G9',5348,9.013,3.15,0.2221,0.2246,0.0009,0.0084,-4.8161,-4.8083,0.0027,1.527,1.555,0.01,0.09,273.95446,-23.81595,4065583301939137536
193,HD 168159,2,2,261,80,b'2004-08-13T01:58:22.580',b'2005-05-01T07:19:54.647',9.264,1.054,33.56,b'K3',4783,3.757,4.027,1.0011,0.9999,0.0035,0.0084,-4.3715,-4.372,0.0015,4.251,4.246,0.015,0.036,274.66949,-6.70103,4160661607077241856
194,HD 168443,14,9,1082,144,b'2008-09-21T23:28:00.961',b'2011-09-09T01:43:47.816',6.892,0.714,25.208,b'G6',5590,9.015,2.508,0.1458,0.1469,0.0006,0.0016,-5.1725,-5.1642,0.005,0.672,0.685,0.008,0.019,275.01639,-9.59572,4157584215800708608
