,Star,Nobs,Nnights,Tspan,snr-med,DateStart,DateEnd,Vmag,B-V,plx,SpType,Teff,Age,e_Age,SMWmed,SMWwmean,e_SMW,s_SMW,logRHKmed,logRHKwmean,e_logRHK,R5med,R5wmean,e_R5,s_R5,_RA,_DE,gaia_dr3_id
343,HD 218396,169,16,3667,117,b'2006-11-07T00:17:09.197',b'2017-06-02T10:47:45.799',5.967,0.258,24.218,b'  ',0,0.0,0.0,0.3033,0.3029,0.0012,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.86965,21.13425,2832463659640296960
344,HD 218572,6,6,1352,93,b'2003-10-31T03:31:56.722',b'2007-07-14T08:03:26.385',8.704,1.004,47.509,b'K3',4785,4.399,4.439,0.4412,0.4476,0.0021,0.0147,-4.6699,-4.6632,0.0022,2.138,2.172,0.011,0.075,347.58571,-68.8389,6387649914378668032
345,HD 218693,2,1,1,37,b'2004-05-21T10:07:00.319',b'2004-10-12T02:43:06.083',9.538,0.916,21.034,b'K2',5079,3.173,3.433,0.5357,0.5357,0.0048,0.0,-4.4716,-4.4716,0.0042,3.376,3.376,0.033,0.0,347.66063,-45.45659,6539943647899014144
346,HD 218750,10,3,30,45,b'2004-09-19T03:40:30.107',b'2013-10-29T03:03:48.525',9.235,0.875,20.18,b'K2',5063,9.659,5.706,0.1872,0.1842,0.0018,0.0082,-4.9857,-4.9957,0.0059,1.034,1.01,0.014,0.064,347.75637,-50.96844,6502498542464727040
347,HD 219077,33,23,3271,169,b'2003-10-25T01:50:31.969',b'2012-10-08T04:20:13.441',6.117,0.786,34.234,b'G9',5362,8.708,0.025,0.1462,0.146,0.0006,0.0014,-5.144,-5.1452,0.0038,0.718,0.716,0.006,0.015,348.52745,-62.7,6489771832811809792
348,HD 219249,21,21,2901,128,b'2003-10-29T01:27:50.553',b'2011-10-08T04:58:05.061',7.956,0.694,32.658,b'G8',5482,12.584,4.855,0.1826,0.1836,0.0008,0.0038,-4.9209,-4.9163,0.0036,1.2,1.213,0.01,0.049,348.79034,-56.72922,6493004500076965888
349,HD 219482,34,15,1965,202,b'2005-08-20T04:03:43.614',b'2011-01-06T01:13:14.724',5.644,0.522,48.876,b'F5',6547,0.0,0.0,0.2987,0.3013,0.0006,0.008,-4.4136,-4.4083,0.0013,3.859,3.906,0.011,0.148,349.24036,-62.0012,6489909443564308480
350,HD 219495,8,1,1,42,b'2006-08-29T05:26:34.455',b'2013-06-25T08:41:04.141',9.018,1.129,35.134,b'K3',4787,4.606,4.548,1.0851,1.0851,0.0068,0.0,-4.451,-4.451,0.0027,3.54,3.54,0.022,0.0,349.32232,-66.9379,6388327179181380608
351,HD 220256,26,24,3680,99,b'2003-10-29T00:39:16.698',b'2013-11-25T00:49:33.895',8.561,0.853,29.123,b'K2',5090,0.308,0.892,0.1718,0.172,0.001,0.0039,-5.0316,-5.0308,0.0037,0.93,0.932,0.008,0.033,350.59909,-0.41487,2644804409490009600
352,HD 220339,35,34,4430,129,b'2003-10-29T00:57:53.951',b'2015-12-15T00:24:09.236',7.811,0.885,52.131,b'K3',4938,8.014,11.545,0.2479,0.2517,0.0011,0.0192,-4.8295,-4.8213,0.0024,1.481,1.509,0.008,0.146,350.7704,-10.76424,2436812303124645376
353,HD 220367,27,24,3267,149,b'2003-10-29T01:44:57.926',b'2012-10-08T04:03:24.240',6.865,0.536,24.432,b'F8',6128,6.132,1.232,0.1576,0.1573,0.0006,0.0015,-4.9148,-4.9167,0.0041,1.217,1.211,0.012,0.028,351.07845,-72.1652,6380683992820388864
354,HD 220507,210,200,5109,142,b'2003-10-29T01:59:31.136',b'2017-10-24T04:33:39.837',7.575,0.687,23.077,b'G4',5698,10.33,1.739,0.1542,0.1543,0.0007,0.0018,-5.0751,-5.0747,0.0049,0.841,0.842,0.01,0.023,351.17548,-52.70188,6501182220888039424
