hpic_name,tess_id,SuperWASP_ID,period,Amp
TIC 27415380,27415380,1SWASPJ142004.68+390301.5,0.3692653854166667,0.3280380368232727
TIC 27454012,27454012,1SWASPJ194142.84+511337.1,7.90341724537037,0.1008307933807373
TIC 27490879,27490879,1SWASPJ142909.27+381639.5,19.808326099537037,0.11237680912017822
TIC 283858338,283858338,1SWASPJ152243.68+504026.5,2.4714346425925924,0.3816336393356323
TIC 290474796,290474796,1SWASPJ091610.18+015308.7,1.4358092810185183,0.382155179977417
TIC 291689873,291689873,1SWASPJ235451.45+383136.3,4.75619212962963,0.44044792652130127
TIC 293968698,293968698,1SWASPJ070657.76-535346.7,2.8427633101851852,0.49992889165878296
TIC 334524122,334524122,1SWASPJ150116.50-433931.1,1.4337765842592594,0.47685444355010986
TIC 357501308,357501308,1SWASPJ151921.15+291222.2,24.211659432870366,0.09249329566955566
TIC 368129164,368129164,1SWASPJ133146.61+291636.6,0.12155401157407408,0.28316736221313477
TIC 372124871,372124871,1SWASPJ204556.97-661000.0,2.4149831814814813,0.4361414909362793
TIC 390726303,390726303,1SWASPJ132046.67+070126.6,0.39784188726851855,0.548214316368103
TIC 392323519,392323519,1SWASPJ162402.03-291044.8,1.326138599537037,0.48630475997924805
TIC 415775240,415775240,1SWASPJ004117.33+342516.8,1.516866862037037,0.3161889314651489
TIC 423126653,423126653,1SWASPJ073225.93-184438.3,8.299936342592593,0.18540501594543457
TIC 425934574,425934574,1SWASPJ001826.12-632838.9,2.3442135055555555,0.18834829330444336
TIC 425940082,425940082,1SWASPJ003451.19-615458.1,0.6060885506944445,0.307193398475647
TIC 434101713,434101713,1SWASPJ233230.86-121551.5,5.46897533275463,1.5858349204063416
TIC 446175401,446175401,1SWASPJ132653.28+453246.9,0.26680614328703706,0.6637933850288391
TIC 452763353,452763353,1SWASPJ045934.83+014700.6,4.371601200810185,0.4650294780731201
TIC 46907042,46907042,1SWASPJ093225.56-111104.6,1.612618995949074,0.389518141746521
TIC 50933417,50933417,1SWASPJ082940.44-095835.1,8.684204282407409,0.23361384868621826
TIC 57513388,57513388,1SWASPJ113155.26-343627.4,0.42200367118055554,0.7738968729972839
